speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2201,Alma,ADAMS,REPRESENTATIVE,D,NC,12,A000370,114
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
99999999999999,First Name unavailable,BERGMAN,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2272,Donald,BEYER,REPRESENTATIVE,D,VA,8,B001292,114
99999999999999,First Name unavailable,BIGGS,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1687,John,BOOZMAN,SENATOR,R,AR,N/A,B001236,114
2243,Mike,BOST,REPRESENTATIVE,R,IL,12,B001295,114
2203,Dave,BRAT,REPRESENTATIVE,R,VA,7,B001290,114
2197,Bradley,BYRNE,REPRESENTATIVE,R,AL,1,B001289,114
186,Steve,CHABOT,REPRESENTATIVE,R,OH,1,C000266,114
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
1654,Wm.,CLAY,REPRESENTATIVE,D,MO,1,C001049,114
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,114
229,John,CONYERS,REPRESENTATIVE,D,MI,13,C000714,114
2103,Paul,COOK,REPRESENTATIVE,R,CA,8,C001094,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
2138,Steve,DAINES,SENATOR,R,MT,N/A,D000618,114
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
2179,Deb,FISCHER,SENATOR,R,NE,N/A,F000463,114
1797,Michael,FITZPATRICK,REPRESENTATIVE,R,PA,8,F000451,114
1791,Virginia,FOXX,REPRESENTATIVE,R,NC,5,F000450,114
1973,John,GARAMENDI,REPRESENTATIVE,D,CA,3,G000559,114
2049,Bob,GIBBS,REPRESENTATIVE,R,OH,7,G000563,114
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,114
99999999999999,First Name unavailable,GOTTHEIMER,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
511,Alcee,HASTINGS,REPRESENTATIVE,D,FL,20,H000324,114
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
2223,J.,HILL,REPRESENTATIVE,R,AR,2,H001072,114
1844,Mazie,HIRONO,SENATOR,D,HI,N/A,H001042,114
2143,George,HOLDING,REPRESENTATIVE,R,NC,13,H001065,114
2140,Richard,HUDSON,REPRESENTATIVE,R,NC,8,H001067,114
583,James,INHOFE,SENATOR,R,OK,N/A,I000024,114
616,Marcy,KAPTUR,REPRESENTATIVE,D,OH,8,K000009,114
,,LATTA,REPRESENTATIVE,R,OH,5,99999999999999999,114
1383,Patrick,LEAHY,SENATOR,D,VT,N/A,L000174,114
1983,Joe,MANCHIN,SENATOR,D,WV,N/A,M001183,114
99999999999999,First Name unavailable,MAST,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2130,Luke,MESSER,REPRESENTATIVE,R,IN,6,M001189,114
1694,Lisa,MURKOWSKI,SENATOR,R,AK,N/A,M001153,114
2275,Dan,NEWHOUSE,REPRESENTATIVE,R,WA,4,N000189,114
2221,Gary,PALMER,REPRESENTATIVE,R,AL,6,P000609,114
1930,Erik,PAULSEN,REPRESENTATIVE,R,MN,3,P000594,114
2286,David,PERDUE,SENATOR,R,GA,N/A,P000612,114
2171,Mark,POCAN,REPRESENTATIVE,D,WI,2,P000607,114
99999999999999,First Name unavailable,RASKIN,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2268,John,RATCLIFFE,REPRESENTATIVE,R,TX,4,R000601,114
1982,Tom,REED,REPRESENTATIVE,R,NY,23,R000585,114
2048,James,RENACCI,REPRESENTATIVE,R,OH,16,R000586,114
2003,Dennis,ROSS,REPRESENTATIVE,R,FL,15,R000593,114
99999999999999,First Name unavailable,ROUNDS,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1728,C.,RUPPERSBERGER,REPRESENTATIVE,D,MD,2,R000576,114
1010,Bernard,SANDERS,SENATOR,I,VT,N/A,S000033,114
2173,Brian,SCHATZ,SENATOR,D,HI,N/A,S001194,114
1036,Charles,SCHUMER,SENATOR,D,NY,N/A,S000148,114
99999999999999,First Name unavailable,SOTO,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1531,Debbie,STABENOW,SENATOR,D,MI,N/A,S000770,114
2047,Steve,STIVERS,REPRESENTATIVE,R,OH,15,S001187,114
2290,Dan,SULLIVAN,SENATOR,R,AK,N/A,S001198,114
1664,Patrick,TIBERI,REPRESENTATIVE,R,OH,12,T000462,114
1942,Paul,TONKO,REPRESENTATIVE,D,NY,20,T000469,114
1991,Steve,WOMACK,REPRESENTATIVE,R,AR,3,W000809,114
2021,Kevin,YODER,REPRESENTATIVE,R,KS,3,Y000063,114
