speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
2668,topic-id,179,"Mr.Speaker, I thank the gentleman for yielding.  After his latest failed attempt to roll back the ACA, Speaker Ryan declared to the American people ``ObamaCare is the law of the land.'' Less than 50 days later, Paul Ryan shamefully is going against his word trying to ram TrumpCare down our throats.  It is an embarrassment that we are wasting taxpayer dollars to again consider TrumpCare--or as I called it ``Trump don't care''--a reckless plan that does nothing to make health care better.  TrumpCare gives the rich and big corporations a $600 billion tax break. It forces families to pay higher premiums and deductions, placing health care out of their reach. TrumpCare forces seniors to pay higher costs and changes Medicare as we know it. It strips essential health benefits and protections for people with preexisting conditions.  What a pitiful display of partisan politics. TrumpCare is so bad, Republicans have exempted themselves from it. They don't want The medical industry doesn't want Democrats don't want  Why don't House Republicans listen?  The people don't want it, and I won't support it.  ",CREC-2017-05-04-pt1-PgH4149-2.txt,2201,EXECUTIVE CALENDAR--Continued,2017.0,4.0,July
2751,topic-id,244,"Mr.Speaker, I thank the gentleman from Colorado (Mr.Polis) for yielding.  Mr.Speaker, I wish to express my strong opposition to H.1180.  H.1180 encourages overwork by encouraging workers to spend more time at work in order to earn paid time off, which employers may or may not allow them to use in the future.  Many hardworking families throughout the 12th District of North Carolina need overtime pay just to make ends meet each month. They should not be compelled by their employer to accept comp time when their monthly budget depends on how much overtime they receive in their paycheck. Overtime pay can be the difference between paying for sending a child to college or going into debt. Parents who earn an hourly wage need overtime, not comp time, to care for their families.  Nothing in the Working Families Flexibility Act strengthens existing workplace protections or promotes workplace flexibility. That is why I offered an amendment last week when H.1180 was considered in committee to exempt comp time arrangements from mandatory arbitration agreements.  This amendment would have ensured protections for employees that H.1180 seek to take away. Unfortunately, the majority decided not to support my amendment or any other amendments offered by my fellow Democrats on the Education and the Workforce  Instead of today's bill, the House should consider legislation that would create good jobs with family sustaining wages and benefits. I strongly oppose H.1180, and I encourage by colleagues to vote ``no'' on this bill.  ",CREC-2017-05-02-pt1-PgH3013-2.txt,2201,AMERICAN HEALTH CARE ACT OF 2017,2017.0,2.0,June
2834,topic-id,241,"Mr.Speaker, I rise today to urge my colleagues to join me in support of the Financial CHOICE Financial Services Committee Chairman Jeb Hensarling's bill aims to bring economic opportunity to all  After Speaker Pelosi and House Democrats passed the Dodd-Frank Act of 2010, dozens of small community financial institutions in my district were forced to close or merge with big banks. In fact, my State of Georgia has lost more than 40 of these institutions over this period of time. This was due to the unbelievable complexity and compliance costs of the regulations imposed on them.  With the Financial CHOICE Act, community banks will finally be able to get some relief from these regulations. As a businessowner myself, I know how important access to capital can be for a new business. We know that 70 percent of all new job creation is created by the growth of small business.  Once these banks are able to get back to the business of lending, my hope is that it will spur small-business growth and entrepreneurship in my district and across this great  This legislation also ends taxpayer-funded bailouts once and for all, finally fulfilling the promises that Democrats failed to keep.  And did I mention it reduces the deficit by $33.6 billion over 10 years?  President Trump has asked us to do a number on Dodd-Frank, and I support him in this endeavor, and believe the Financial CHOICE Act does just that.                          ____________________",CREC-2017-06-07-pt1-PgH4689-3.txt,2239,HARRY W. COLMERY VETERANS EDUCATIONAL ASSISTANCE ACT OF 2017,2017.0,7.0,May
2574,topic-id,129,"Mr.Speaker, I rise today to urge my colleagues and fellow citizens to elevate our political discourse in which we participate for the good of our country.  Some of what I see in America grieves me. The partisan divide grows more volatile, and decency shrinking in our political dialogue. Many on the left continue to say, Mr.Trump is ``not my President.'' And in the past, some on the right have said, Mr.Obama is ``not my President.''  Now we have people who think it is comical to be photographed with the depiction of the President's bloodied head. I can only think of real-life intelligence photos I have viewed of innocent men and women shortly after their decapitation at the hands of a terrorist. Escalating America's political discussion to actions like what ",CREC-2017-06-08-pt1-PgH4710.txt,99999999999999,HARRY W. COLMERY VETERANS EDUCATIONAL ASSISTANCE ACT OF 2017,2017.0,8.0,May
2742,topic-id,431,"Mr.Speaker, I rise today to honor the life of an American patriot and hero, Mr.Troy Bowling of Lexington, Kentucky, who completed his life's service on June 17, 2017, at the age of 90 years old.  His military service during World War II and his commitment to supporting our veterans and the men and women in uniform throughout his life is an inspiration to us all.  At the age of 19, Mr.Bowling began his service as a United States marine and was a proud member of the Easy Company, 2nd Battalion, 27th Marines, 5th During the United States campaign to end the war against Japan, Mr.Bowling's unit was among the first to arrive on the beachheads of Iwo  While attempting to secure Mount Suribachi, his unit came under intense and concentrated fire, completely overwhelming his unit. Two projectiles struck Mr.Bowling in the chest and leg, leaving him critically wounded on the battlefield.  At that moment, Mr.Bowling said he looked to the heavens and committed to serving mankind for the rest of his life if he survived. Miraculously, a combat photographer and medical team then carried Mr.Bowling to the safety of a landing craft, where he witnessed the planting of the American flag atop Mount Suribachi, an iconic image that persists as one of the most legendary and triumphant moments of the war. The U.Marines eventually took control of the island. However, this victory came at a heavy cost, as over 6,800 U.servicemembers gave their lives during the battle of Iwo  In keeping faith with his commitment to God made during that battle, Mr.Bowling devoted over 78,000 hours of volunteer service to others at the Lexington VA Medical For over 66 years, Mr.Bowling rose through the ranks within the Disabled American Veterans organization, holding nearly every position possible, including State commander.                              {time}  1030  The Bible teaches in Proverbs 21:21 that ``He who pursues righteousness and love finds life, prosperity, and honor.''  Mr.Bowling has brought great honor upon himself through his dedication, determination, and love for serving the people of our community. Without a doubt, he has remained true to the commitment he made on the rocky terrain of Iwo  Mr.Bowling embodies the best of American ideals, values, and commitment to serving others, never abandoning the Marine motto of semper fidelis, ``always faithful.''  On behalf of a grateful nation, I would like to thank Mr.Bowling, a model member of the greatest generation, for his many years of service to our country and our community. He is truly an outstanding American and an inspiration to us all.  Troy Bowling, may you rest in peace.                          ____________________",CREC-2017-07-25-pt1-PgH6220.txt,2238,HARRY W. COLMERY VETERANS EDUCATIONAL ASSISTANCE ACT OF 2017,2017.0,25.0,July
2705,topic-id,157,"Mr.Speaker, I rise today in strong opposition to the Republicans' latest version of  Trumpcare will cover fewer people, provide weaker protections, and result in higher costs.  Trumpcare will eviscerate essential health benefits and protections for pre-existing conditions and make it all but impossible for millions of Americans fighting illness to afford the health coverage they desperately need.  Trumpcare will mean higher costs for less coverage.  It will result in 24 million hard-working Americans losing health coverage.  It will destroy protections for Americans with pre-existing conditions and gut Essential Health Benefits, such as maternity, prescription drug coverage, and emergency coverage.[[Page H4169]]  Trumpcare will create a crushing age tax--it will force Americans aged 50-64 to pay premiums five times higher than what others pay for health coverage, no matter how healthy they are.  Mr.Speaker, healthcare should be a right for all, not just the privileged few. I will vote against Trumpcare and urge all my colleagues to vote no.  ",CREC-2017-05-04-pt1-PgH4149-2.txt,2153,HARRY W. COLMERY VETERANS EDUCATIONAL ASSISTANCE ACT OF 2017,2017.0,4.0,July
2609,topic-id,294,"Madam Speaker, I thank the chairman. I think he outdid himself on this one. This is outstanding stuff. There is no other word. It is huge. It really is. He is helping our true American heroes with this, and I am so proud to be a cosponsor of this legislation.  The challenges our Nation's heroes face do not end on the battlefield. Education and career training programs offer veterans the opportunity to enter a new chapter of their lives when they return home from their service.  I recently visited AmSkills, a manufacturing apprenticeship center in New Port Richey, Florida, to learn more about the good work they are doing locally to help veterans transition to civilian careers.  The Forever GI Bill helps ensure that veterans nationwide have the resources to access career education programs such as AmSkills, of course, going to a university maybe, a community college, vocational training, whatever they want to do.  Importantly, this bill allows future eligible GI Bill recipients to use their benefits at any point in their lives. That is incredible. It is long overdue, as opposed to the current 15-year time limit, which is so unfair.  It also includes my provision, the VETERAN Act, which authorizes $30 million to help the VA invest in modernizing their information technology systems for claims processing.  Congress and the House Veterans' Affairs Committee would have oversight of the VA's proposed changes and monitor its progress. The provision would be a major step in helping veterans receive their benefits in a more timely and efficient manner.  Overall, the legislation before us today will improve, expand, and modernize the GI Bill program for veterans and their surviving spouses and dependents. That is so very important.  Madam Speaker, I urge passage of this great bill.  ",CREC-2017-07-24-pt1-PgH6158-2.txt,1838,AMERICAN HEALTH CARE ACT OF 2017,2017.0,24.0,July
2656,topic-id,49,"Mr.Speaker, I ask unanimous consent that all Members may have 5 legislative days in which to revise and extend their remarks on H.1628, the American Health Care Act of 2017.  The SPEAKER pro tempore. Is there objection to the request of the gentlewoman from Tennessee?  There was no objection.  ",CREC-2017-05-04-pt1-PgH4149-2.txt,2063,"ORDERS FOR TUESDAY, JUNE 27, 2017",2017.0,4.0,July
2657,topic-id,809,"Mr.Speaker, I yield myself such time as I may consume.  Mr.Speaker, I rise today in favor of the American Health Care Act, a bill that repeals the worst parts of ObamaCare and begins to repair the damage it has caused. This bill brings choice and competition back into the healthcare marketplace and puts healthcare decisions back into the hands of patients and doctors where it belongs.  It has been a winding road to get to this point, but we are here today to fulfill the promise that we made to the American people. I will point out right now to those who say we should have just moved on from healthcare reform, American families and individuals are suffering from rising costs and barriers to getting the care that they need right now.  Under ObamaCare, the situation is getting worse every day. In Iowa, just yesterday, one of the last remaining insurers announced that it will pull out of the ObamaCare exchanges, leaving nearly all of the State's residents with no--and, yes, I will say again, nearly all of the residents with no available health insurance plan for the purchase under                              {time}  1230  And in a few of the Iowa counties which are the remaining insurers, even that company is saying it might stop offering plans, leaving the entire State without an insurance plan available under That is happening this very week. We can't wait a moment longer than necessary to provide relief for the American people by repealing and replacing  I applaud the Members of this body who stuck with us during this process and worked hard to make the bill better. I, myself, had concerns about the bill as it was introduced. I worked hard to make sure that the bill truly reflected my ideals and the views and desires of my constituents. And when the bill came before the Budget Committee, which I chair, I urged my members to stay in the fight and work to improve the bill rather than stop it in its tracks.  And do you know what? Our members did just that, making some recommendations that were eventually included in the various amendments. That message was heard loud and clear by all of the members of our Conference who have worked tirelessly to finalize a bill that truly reflects our vision for healthcare reform.  Throughout this process, our commitment to undoing the damage done by ObamaCare has remained steadfast. Day after day, my constituents call my office begging us to do something to save them from ObamaCare, and it is because ObamaCare is collapsing.  In my State of Tennessee, families are suffering. Premiums have increased by 60 percent, while deductibles are so high that, even if someone has an insurance card, it doesn't mean they have guaranteed care.  There are parts of my State in Tennessee that don't have a single insurance provider in the marketplace, and two-thirds of the counties have only one provider. That is not competition. That is called a monopoly.  While no legislation is perfect, this bill makes some important changes to help American families get quality, affordable health insurance: It zeros out the mandates, it repeals the taxes, and it repeals the subsidies; it allows people to choose health insurance plans to meet the unique needs of their families instead of purchasing a one-size-fits-all plan mandated by a Washington bureaucrat; and it modernizes Medicaid, a once-in-a-lifetime entitlement reform.  Ending Medicaid's open-ended funding structure will play an important role in addressing our future budget deficits and our growing national debt.  This is a particularly proud moment for me. I was working as a nurse in Nashville in the 1990s when the Clinton administration pushed a single-payer pilot program in Tennessee called I saw firsthand the negative impact government-run health care has on patient care. I saw costs rise and the quality of care fall. It inspired me to get involved in public service.  When in 2009 and 2010 I saw those same principles being debated and, eventually, implemented on the national level, I thought my experience in Tennessee could be valuable in the national debate; so, in 2011, I sponsored the first piece of legislation that repealed a part of Today, we take the largest step yet in rescuing the American people from this damaging, government-run healthcare system.  I, and many other Members of this body, have worked hard to make sure that this bill truly reflects our visions for healthcare reform. I, for one, cannot sit idly by and let this opportunity go to waste. Governing is hard, but our constituents did not elect us to do what is easy. They elected us to do what is right.  I urge my colleagues to join me in voting ``yes'' on the American Health Care Act to rescue the American people from  Mr.Speaker, I reserve the balance of my time.  ",CREC-2017-05-04-pt1-PgH4149-2.txt,2063,SERGEANT JOSEPH GEORGE KUSICK VA COMMUNITY LIVING CENTER,2017.0,4.0,July
2658,topic-id,24,"Mr.Speaker, it is my honor to yield 1\1/2\ minutes to the gentleman from Tennessee (Mr.Roe), a physician and the chair of the Veterans' Affairs  ",CREC-2017-05-04-pt1-PgH4149-2.txt,2063,AMERICAN HEALTH CARE ACT OF 2017,2017.0,4.0,July
