1E+14,First Name unavailable,ARRINGTON,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1558,Tammy,BALDWIN,SENATOR,D,WI,N/A,B001230,114
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
99,Earl,BLUMENAUER,REPRESENTATIVE,D,OR,3,B000574,114
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
,,CARDIN,SENATOR,D,MD,N/A,1E+17,114
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
1984,Christopher,COONS,SENATOR,D,DE,N/A,C001088,114
1825,Bob,CORKER,SENATOR,R,TN,N/A,C001071,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
1850,Joe,DONNELLY,SENATOR,D,IN,N/A,D000607,114
2123,Tammy,DUCKWORTH,REPRESENTATIVE,D,IL,8,D000622,114
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
1797,Michael,FITZPATRICK,REPRESENTATIVE,R,PA,8,F000451,114
511,Alcee,HASTINGS,REPRESENTATIVE,D,FL,20,H000324,114
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
2079,John,HOEVEN,SENATOR,R,ND,N/A,H001061,114
566,Steny,HOYER,REPRESENTATIVE,D,MD,5,H000874,114
2269,Will,HURD,REPRESENTATIVE,R,TX,23,H001073,114
1608,Johnny,ISAKSON,SENATOR,R,GA,N/A,I000055,114
1E+14,First Name unavailable,JAYAPAL,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2149,Hakeem,JEFFRIES,REPRESENTATIVE,D,NY,8,J000294,114
616,Marcy,KAPTUR,REPRESENTATIVE,D,OH,8,K000009,114
1826,Amy,KLOBUCHAR,SENATOR,D,MN,N/A,K000367,114
1668,James,LANGEVIN,REPRESENTATIVE,D,RI,2,L000559,114
1501,Barbara,LEE,REPRESENTATIVE,D,CA,13,L000551,114
701,Zoe,LOFGREN,REPRESENTATIVE,D,CA,19,L000397,114
791,Robert,MENENDEZ,SENATOR,D,NJ,N/A,M000639,114
1507,Jerry,MORAN,SENATOR,R,KS,N/A,M000934,114
1837,Christopher,MURPHY,SENATOR,D,CT,N/A,M001169,114
1992,Paul,PAUL,REPRESENTATIVE,R,AZ,4,G000565,114
1930,Erik,PAULSEN,REPRESENTATIVE,R,MN,3,P000594,114
905,Nancy,PELOSI,REPRESENTATIVE,D,CA,12,P000197,114
1982,Tom,REED,REPRESENTATIVE,R,NY,23,R000585,114
1986,Martha,ROBY,REPRESENTATIVE,R,AL,2,R000591,114
1E+14,First Name unavailable,ROUNDS,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2084,Marco,RUBIO,SENATOR,R,FL,N/A,R000595,114
1003,Bobby,RUSH,REPRESENTATIVE,D,IL,1,R000515,114
1757,Linda,SANCHEZ,REPRESENTATIVE,D,CA,38,S001156,114
1950,Kurt,SCHRADER,REPRESENTATIVE,D,OR,5,S001180,114
1036,Charles,SCHUMER,SENATOR,D,NY,N/A,S000148,114
1901,Jeanne,SHAHEEN,SENATOR,D,NH,N/A,S001181,114
1531,Debbie,STABENOW,SENATOR,D,MI,N/A,S000770,114
2168,Chris,STEWART,REPRESENTATIVE,R,UT,2,S001192,114
1829,Jon,TESTER,SENATOR,D,MT,N/A,T000464,114
1534,John,THUNE,SENATOR,R,SD,N/A,T000250,114
2291,Thom,TILLIS,SENATOR,R,NC,N/A,T000476,114
1226,Roger,WICKER,SENATOR,R,MS,N/A,W000437,114
2165,Roger,WILLIAMS,REPRESENTATIVE,R,TX,25,W000816,114
1247,Ron,WYDEN,SENATOR,D,OR,N/A,W000779,114
2261,Lee,ZELDIN,REPRESENTATIVE,R,NY,1,Z000017,114
