speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2229,Pete,AGUILAR,REPRESENTATIVE,D,CA,31,A000371,114
2090,Mark,AMODEI,REPRESENTATIVE,R,NV,2,A000369,114
2238,Barry,BARR,REPRESENTATIVE,R,GA,11,L000583,114
99999999999999,First Name unavailable,BIGGS,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
99,Earl,BLUMENAUER,REPRESENTATIVE,D,OR,3,B000574,114
186,Steve,CHABOT,REPRESENTATIVE,R,OH,1,C000266,114
2259,Bonnie,COLE,REPRESENTATIVE,D,NJ,12,W000822,114
1836,Joe,COURTNEY,REPRESENTATIVE,D,CT,2,C001069,114
1995,Jeff,DENHAM,REPRESENTATIVE,R,CA,10,D000612,114
1857,Keith,ELLISON,REPRESENTATIVE,D,MN,5,E000288,114
,,FLORES,REPRESENTATIVE,R,TX,17,99999999999999999,114
414,Rodney,FRELINGHUYSEN,REPRESENTATIVE,R,NJ,11,F000372,114
2122,Tulsi,GABBARD,REPRESENTATIVE,D,HI,2,G000571,114
1801,Louie,GOHMERT,REPRESENTATIVE,R,TX,1,G000552,114
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,114
2040,Joseph,HECK,REPRESENTATIVE,R,NV,3,H001055,114
2140,Richard,HUDSON,REPRESENTATIVE,R,NC,8,H001067,114
2028,Bill,HUIZENGA,REPRESENTATIVE,R,MI,2,H001058,114
2134,Daniel,KILDEE,REPRESENTATIVE,D,MI,5,K000380,114
2169,Derek,KILMER,REPRESENTATIVE,D,WA,6,K000381,114
1834,Doug,LAMBORN,REPRESENTATIVE,R,CO,5,L000564,114
1931,Blaine,LUETKEMEYER,REPRESENTATIVE,R,MO,3,L000569,114
99999999999999,First Name unavailable,MITCHELL,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1676,Shelley,MOORE,SENATOR,R,WV,N/A,C001047,114
868,Eleanor,NORTON,DELEGATE,D,DC,N/A,N000147,114
2221,Gary,PALMER,REPRESENTATIVE,R,AL,6,P000609,114
1967,Mike,QUIGLEY,REPRESENTATIVE,D,IL,5,Q000023,114
2017,Todd,ROKITA,REPRESENTATIVE,R,IN,4,R000592,114
1848,Peter,ROSKAM,REPRESENTATIVE,R,IL,6,R000580,114
2158,Keith,ROTHFUS,REPRESENTATIVE,R,PA,12,R000598,114
99999999999999,First Name unavailable,SCHNEIDER,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2261,Lee,ZELDIN,REPRESENTATIVE,R,NY,1,Z000017,114
