speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
319,topic-id,63,"Mr.Speaker, I ask unanimous consent to bring up H.3440, the DREAM Act, to protect DREAMers like Maria, who is the coordinator of the DREAMers Resource Success Center at Cal State San  The SPEAKER pro tempore. As previously announced, the unanimous consent request cannot be entertained.  Mr.Mr.Speaker, I yield to the gentlewoman from Guam (Ms.[[Page H6683]]Bordallo) for the purpose of a unanimous consent request.  ",CREC-2017-09-06-pt1-PgH6678-3.txt,2229,0050,2017.0,6.0,September
168,topic-id,247,"Mr.Speaker, in light of this unprecedented natural disaster in Houston and Louisiana, along the Gulf Coast, I want to urge my colleagues to provide the resources necessary to help them recover. We need to move quickly and we need to move responsibly, and I just urge my colleagues to act, and act now.  I am very proud of my fellow Texans for the way they have responded. I am proud of the leadership at the local level, at the State level, and I am proud, mostly, of the overwhelming, loving response of reaching out, neighbor helping neighbor, friends and folks in their community taking this responsibility head-on, not waiting on the Federal We have a role, and the Federal Government ought to do all that we can to help those.  Texas is a special place, Mr.As you know, these folks are very self-reliant. They are committed to their communities, and they are committed to loving thy neighbor. It is not just a memory verse, it is a way of life in  So, again, our thoughts and prayers are with our friends back home. I know my colleagues and neighbors in west Texas, in District 19, have sent first responder vehicles and personnel, food, and supplies. Dyess Air Force Base in Abilene, Texas, has sent, for example, 12 tons of supplies and food. So we are with you guys. We love you.  As Trump said, ``Texans can handle anything.'' He is right.  God bless Texas, and God bless  ",CREC-2017-09-06-pt1-PgH6660-6.txt,99999999999999,0050,2017.0,6.0,September
171,topic-id,376,"Mr.Speaker, I would like to echo what everyone has said, especially my colleagues, Mr.Green and others, from Texas who have mentioned how we have pulled together. But I want to rise in strong support of this disaster relief funding for those who have been impacted by this terrible storm.  My district is in Texas 36, and it was totally devastated. All nine counties have been declared Federal disaster areas. The entire district was underwater, a vast lake, from Houston over to the Louisiana border. The devastation is truly heartbreaking.  I have traveled to each county and assisted in the recovery efforts, and I have met with the victims. 502 provides desperately needed resources to help our fellow Americans put their lives back together again and provides a hand up, not a handout. Texans don't want a handout, but we do need the help and the hand up.  In the midst of this devastation, the entire world has seen the resiliency, compassion, and determination of the people of Texas, and I am truly inspired by the incredible stories of goodness.  We have had multiple disasters, especially in my district--multiple--even three disaster declarations for some of my counties over the past 3 years. I have met and talked to some of my constituents who had just gotten back into their homes 2, 3 months ago from a flood that impacted us last year. One has told me she still had the price tags on their furniture when she woke up during the night to see water in her house. These are the kinds of things that we are seeing.  But in the midst, as I have said, our churches, our first responders, our private citizens, businesses, people from out of State--and I want to especially commend the State of Louisiana, who came over and provided hundreds of boat teams for us--all around the district, people are helping one another.  I just want to urge my colleagues to join me in supporting this very, very much-needed funding and showing our fellow Americans that we stand with them in this terrible, terrible time.  I have been around a long time. I have seen storms--Hurricane Audrey in the 1950s--and this storm, Hurricane Harvey, I have never seen one like this before.  ",CREC-2017-09-06-pt1-PgH6660-6.txt,2270,"PROVIDING FOR CONSIDERATION OF H.R. 3354, DEPARTMENT OF THE INTERIOR,",2017.0,6.0,September
328,topic-id,50,"Mr.Speaker, I ask unanimous consent to bring up H.3440, the DREAM Act, to protect DREAMers like Elaine, who is studying for her master's in public health at  The SPEAKER pro tempore. As previously announced, the unanimous consent request cannot be entertained.  Mr.Mr.Speaker, I yield to the gentlewoman from California (",CREC-2017-09-06-pt1-PgH6678-3.txt,99999999999999,"PROVIDING FOR CONSIDERATION OF H.R. 3354, DEPARTMENT OF THE INTERIOR,",2017.0,6.0,September
367,topic-id,1295,"Mr.President, over the last several weeks I have spent a lot of time traveling around my home State of Wyoming, and the Presiding Officer may have in his home State of Arkansas as well. We all do. We talk to a lot of people and hear from a lot of people as we travel around to the rodeos, the fairs, and the parades.  One of the things I have been hearing more and more about because I am seeing it daily in Wyoming--I know both Senator Daines and Senator Tester, both Senators from Montana have talked about it--has been the incredible forest fires that have been raging in the There are more than 1 million acres of land burning in the Smoke is spreading all around the West, certainly in Wyoming--fire as well as smoke--impacting people, impacting land, impacting the soil, air, water, and impacting life, as well as property.  The damage that is happening is dramatic, and in many ways it is similar to the kinds of comprehensive damage and destruction we are seeing with the big storms hitting, like Hurricanes Harvey and Irma, which is on its way to These are incredible storms, and the people of Wyoming want to express and share their sympathy for the people who have lost family members, who have lost property, and those who are still in danger. We also know in Wyoming that people are wanting to volunteer, wanting to go to help by collecting food, supplies, clothing, taking up collections, as well, in churches, schools, and communities because that is the American spirit.  Today I come to the floor to express my admiration for the resilience of the people of the West, as well as the resilience of the people of Texas, Louisiana, and all Americans who are today dealing with the disasters they are facing in their homes.  The other things I heard a lot about--and this will not surprise us--are the concerns still out there regarding the Obama healthcare law. A lot of people in the media seem to think the discussion about that healthcare law is over. I can tell you, for the people of Wyoming, they are still very concerned about what we are seeing in terms of the collapse of the healthcare system, fewer choices, and higher prices. For them, the conversation is not over, and they want to make sure it is not over in Congress either. ObamaCare is still failing, and the American people are certainly still suffering, so we need to do something about it. We need to act.  There was an article by the Associated Press in the paper on Monday that summed up the situation. The headline was ``Millions who buy health insurance brace for sharp increases.''  The article goes on to say: ``Millions of people who buy individual health insurance policies and get no financial help from the Affordable Care Act are bracing for another year of double-digit premium increases, and their frustration is boiling over.''  The article says that these are mostly middle-class folks--hard-working people who may be self-employed or work for small businesses that can't afford to offer insurance. It goes on to say that these millions of Americans ``pay full freight and bear the brunt of market problems such as high costs and diminished competition.''  That is the exact situation people are facing in Wyoming, and I assume in the Acting President pro tempore's home State of Arkansas as well.  The ObamaCare exchange in my State has only one company selling insurance. It wasn't supposed to happen that way. Democrats in Congress who supported the healthcare law said that it was going to create more competition and would bring down the prices and costs for families. In September of 2009, President Obama said that ``without competition, the price of insurance goes up and quality goes down.''  So what is the situation now? All summer long we have heard about insurers who are giving up, pulling back, and dropping out. Millions of Americans will have fewer choices when it comes to their health insurance plans and opportunities in 2018.  On August 24, the largest hospital system in New York State announced that it was going to stop selling an ObamaCare insurance plan it had launched just 4 years ago. This is the home State of the Democratic leader in the Senate, someone who has come to the floor supporting the healthcare law.  The company is blaming the flaws in the Obamacare law and the fact that we haven't been able to do the reforms we need to do. Things I proposed and things that make sense to me--the Democratic leader will not allow us to address the many, many flaws of Meanwhile, the people of his home State of New York are losing another option to get the coverage ObamaCare requires by law for them to have.  They are not alone. People living in 47 percent of all counties will have only one option for coverage next year, so millions of Americans are stuck in an insurance monopoly under  Monday was the deadline for insurance companies to say what they will need to charge next year. People across the country continue to be very worried about how much more expensive their health insurance will be.  The lack of competition is one reason for the skyrocketing prices, but other big reasons for the increase in prices are actually the tax increases that were put in place when ObamaCare was passed. The healthcare law included $1 trillion in new taxes.  One of the biggest ones hitting hard-working families is a tax on every health insurance plan that gets sold. It is called the health insurance tax. There was a new study last month that found this tax is going to raise prices by about $500 per family next year.  The tax alone is raising the cost $500 per family next year. That is just to pay for one of the taxes. Republicans want to get rid of the tax. That was part of our repeal-and-replace plan.  Every Democrat voted no--voted no--to removing the taxes, so premiums are continuing to soar because the healthcare law is unsustainable, and the taxes are unbearable for hard-working families. We have to do something to help people and to reverse the damage caused by  I voted for the repeal legislation in July, and I am going to continue to work to replace But until[[Page S4983]]that happens, I am glad to see the Committee on Health, Education, Labor, and Pensions is looking into other ways we can make changes to The committee is working on ways to stabilize the individual market for next year. They are going to hear from Governors and State insurance commissioners about giving States more flexibility in dealing with some of the healthcare law's mandates. The committee is also going to be listening to doctors and to patients.  When I talk to doctors and nurses and patients back home in Wyoming, they tell me that the healthcare system we have now under ObamaCare isn't working. I see it every day. What I hear and what I see when I visit the hospitals and when I go back to my old medical office is that we need to replace it with something that actually makes healthcare more affordable. That was a big part of the Republican reform effort: Let the States do what works for their State and for the people who live there.  The Obama healthcare law is still hurting It is not getting better on its own. It is up to us in Congress to do all we can to help Americans who have been trapped in the ObamaCare death spiral.  I yield the floor.  The ACTING PRESIDENT pro tempore. The Senator from South                          ____________________",CREC-2017-09-06-pt1-PgS4982.txt,1881,"PROVIDING FOR CONSIDERATION OF H.R. 3354, DEPARTMENT OF THE INTERIOR,",2017.0,6.0,September
40,topic-id,157,"Mr.Speaker, I rise today in support of the SELF DRIVE Act, which will improve transportation safety, stimulate economic growth, and ensure we are embracing the full potential of technological advances in the automotive industry with respect to autonomous vehicles.  I am especially proud that my bill, the ACCESS Act, has been included in this important legislative package, which ensures that self-driving cars are[[Page H6675]]developed with seniors and the underserved in mind.  Approximately 20 percent of Floridians are over the age of 65, and many struggle with simple tasks most of us take for granted, such as getting to work, going to the doctor, taking a trip to the grocery store or across town to visit family.  Self-driving cars hold the power to safely put seniors and our constituents back in the driver's seat of their lives, providing them with greater independence and mobility. I urge all my colleagues to support the passage of this very important bill.  ",CREC-2017-09-06-pt1-PgH6667.txt,1838,DACA,2017.0,6.0,September
205,topic-id,174,"Mr.Chairman, I rise today in support of my amendment to add $5 million to expand the Visa Security Program which will fund two more high-risk visa security posts in the most volatile parts of the world.  The global threat of radical Islamic extremism is very real and requires a robust vetting system to ensure those seeking to do us harm do not enter our borders.  Despite success in our efforts to destroy ISIS, we know hot spots around the world serve as a breeding ground for radical ideology. That is why expanding our visa security program is paramount.  In 2010, I questioned then-Homeland Security Secretary Napolitano about why the Visa Security Program hadn't been accelerated and emphasized the need to take prompt action to bolster screening capabilities overseas.  It remains a priority today. The Visa Security Program is a vital part of our antiterrorism efforts, and its success is essential because if we are not safe, nothing else matters.  Mr.Chairman, I urge my colleagues to support this en bloc amendment and the underlying bill.  ",CREC-2017-09-06-pt1-PgH7072-2.txt,1838,DACA,2017.0,6.0,September
46,topic-id,237,"Mr.Speaker, I am pleased to join my colleagues on the floor of the House dealing with autonomous vehicles. I think this is one of the most important issues that nobody is really focused on. I wish it were not on the suspension calendar and we had a chance to spend several hours discussing it here.  What you have done is forge a bipartisan coalition to be able to leapfrog going forward, to be able to not just focus on safety, but how autonomous vehicles have the opportunity to reshape the American landscape dealing with recovering right-of-way and being able to have new economic opportunities.  But this must be done right. The fact that ``Driver'' is the number 1 category of employment for men without a college education, means there could be some problems here. If we don't do it right, we can actually increase congestion rather than decrease it.  But I think you have established the framework to allow us to go forward, to be able to capitalize on this innovation, to be able to accelerate American leadership and avoid the problem we had with drones where the FAA was not really capable of dealing with drones which were more like flying cell phones than dealing with jets. You are trying to lay a foundation that I think is going to help us avoid that problem, and it is going to pay dividends for years to come.  ",CREC-2017-09-06-pt1-PgH6667.txt,99,NORTH KOREA,2017.0,6.0,September
286,topic-id,157,"Mr.Speaker, we return to Capitol Hill amidst chaos--wildfires in the West, choking smoke in my community, the cruelty of 800,000 young people having their lives turned upside down unnecessarily by Trump yesterday, and we are dancing with the debt ceiling chaos with the world economy. All are made unnecessarily worse. Even Harvey was predictable due to government action and inaction.  Congress should stop pretending these things are beyond our control. A majority of Congress would treat young DREAMers, fairly if given a right to vote for it on the floor of the  We should fund disaster prevention, including forest fires, and stop subsidizing more floods, and not play unnecessary games with the world economy, pretending we won't pay for money we have already spent.  In the end, we will probably spend the next 3 weeks setting up the next crisis later in the year.  Isn't it time that Congress stop playing the victim and take charge?                          ____________________",CREC-2017-09-06-pt1-PgH6658-2.txt,99,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,2017.0,6.0,September
69,topic-id,1167,"Mr.President, we are here to stand this afternoon for close to 800,000 young men and women--10,000 of them are living in Connecticut--who have relied on a promise, not just any old promise but a promise from the United States of  The promise to them was that they could come forward, share information about their cell phones, their addresses, their relatives, their workplaces, their tax information, and they would be permitted to live here, study here, work here, and give back to their communities.  Now America is breaking that promise and betraying its values in the decision by the President of the United States to end the DACA This decision is repugnant to the basic ideals of It is repulsive to the values that underlie the rule of law.  I heard a commentator last night saying: You know, these DACA people, when they came here, they broke the law. Think of it for a moment. A 2-year old, a 3-year old brought by their parents, maybe by a stranger, maybe by other relatives, is breaking the law because that relative then failed to go through the steps necessary for documentation. Or there may have been a variety of other circumstances, such as persecution, threatened death and injury in the country where that young man or woman was born.  But we know--because it is part of the DACA Program--that they were minors when they came here. They made no decision to break the law. They have been here for their entire lives, except for a few months or years.  We know also that, for almost all of them, this country is the only one they know, and English is usually the only language they speak. Their lives are here. Their friends are here and families as well. But most important for the United States of America that made that promise, their futures are here. They are, as the President of the United States said, terrific people. We love them, as he also said.[[Page S4992]]  The announcement that he would end their legal status here, that they would be deported, that they would be ejected from this country is the height of hypocrisy and inhumanity. It is cruel and irrational, it will deprive our economy of hundreds of billions of dollars over the next 10 years, it will mean disruption in workplaces, and that is why employers are protesting the decision. It will mean schools will be uncertain about how many students there will be, and that is why university presidents and administrators are condemning it, but, most importantly, it will betray who we are as Americans--a nation of immigrants, a nation that keeps its promise.  Now, let's be very clear. When the Attorney General of the United States says there will be an orderly wind down--I think those are the terms he used. There is no such thing as an orderly wind down of There is disruption and destruction, already chaos and confusion, terror among the young people who are living their lives now seemingly on borrowed time. It is borrowed time because the President of the United States has thrown a ticking timebomb into this body, in effect playing chicken with their lives. They are the ones whose lives will be blown up if that timebomb explodes. They are, indeed, voices and faces who have come to us in the last day or so, two of them from Connecticut I met with or saw.  The first is Mirka Dominguez-She has been in the United States for 16 years. She is pursuing her dream at Southern Connecticut State University of becoming a teacher. She was student teaching last week, but her future career in education has suddenly been jeopardized.  Jonathan Gonzales, too, is a student at He has a double major in economics and applied mathematics. He also mentors other students at public schools in New He has the freedom basically to live as anyone else in this country, to drive to work, and his freedom, too, is in jeopardy.  They have come to Washington, DC, today not only to share their stories but to raise their voices and represent those 10,000 others in Connecticut, like Vania, who was born in Mexico and brought to Willimantic at age 3. She thinks of Connecticut as her home. It is the only home she knows, where she went to school and made her friends. Would she be sent back to Mexico, where she knows no one, has no job or connection? Will she go by plane or will she be forced to walk to the border or maybe by car? We are talking about deportation--physical ejection from the country--not a vague concept of maybe in a few years. We are talking about deportation of 800,000 people, beginning in 6 months, on a scale, a magnitude, and scope that is unprecedented in the history of the United States of America--the same country that welcomed my father at the age of 17, when he fled Germany to escape persecution and knew virtually no one, had not much more than the shirt on his back and spoke almost no Just as many of them came to this country at a much younger age, and this country gave them, as it did my father, a chance to succeed.  There is no orderly way to wind down this program. There is only grief, pain and suffering for those 800,000 Dreamers but also for the rest of us, for our economy, for our sense of self and morality.  As far as the rule of law is concerned, these young people are not the lawbreakers. It is the Attorney General of the United States who is wrong about the law but, more importantly, wrong to decline to defend the law and prejudging, instead, what the result would be if this case went to court, if those 10 attorneys general went to court on DACA to prove their case, including the U.Supreme  Where does Attorney General Jeff Sessions have the power to prejudge what the Supreme Court of the United States would do?  So we have a decision ahead of us, which is to rise to the challenge, to diffuse that timebomb, to pass the Dream Act, to enable these young people who are faced with terror and anxiety to have a chance to continue productive and important lives and to avoid the economic nightmare for employers and job creators who depend on them.  We have the opportunity and obligation now to make sure these young people are protected, not punished, because their futures are at stake, our future as a nation is at stake, and I am here to say to Jonathan, to Vania, to all of the Dreamers that we will fight as long and hard as possible to make sure the American dream is alive and well for you. That dream was promised to you by a great country, and great countries keep their promises.  Thank you. I yield the floor.  The PRESIDING The Senator from  ",CREC-2017-09-06-pt1-PgS4988.txt,2076,SAFELY ENSURING LIVES FUTURE DEPLOYMENT AND RESEARCH IN VEHICLE,2017.0,6.0,September
