speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1695,Lamar,ALEXANDER,SENATOR,R,TN,N/A,A000360,114
2239,Rick,ALLEN,REPRESENTATIVE,R,GA,12,A000372,114
2029,Justin,AMASH,REPRESENTATIVE,R,MI,3,A000367,114
2350,Jodey,ARRINGTON,REPRESENTATIVE,R,TX,N/A,A000375,115
2270,Brian,BABIN,REPRESENTATIVE,R,TX,36,B001291,114
2337,Don,BACON,REPRESENTATIVE,R,NE,N/A,B001298,115
1558,Tammy,BALDWIN,SENATOR,D,WI,N/A,B001230,114
2238,Barry,BARR,REPRESENTATIVE,R,GA,11,L000583,114
99999999999999,,BARRAGAN,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
2153,Joyce,BEATTY,REPRESENTATIVE,D,OH,3,B001281,114
1965,Michael,BENNET,SENATOR,D,CO,N/A,B001267,114
2307,Andy,BIGGS,REPRESENTATIVE,R,AZ,N/A,B001302,115
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
1687,John,BOOZMAN,SENATOR,R,AR,N/A,B001236,114
2106,Julia,BROWN,REPRESENTATIVE,D,CA,26,B001285,114
2233,Ken,BUCK,REPRESENTATIVE,R,CO,4,B001297,114
153,Richard,BURR,SENATOR,R,NC,N/A,B001135,114
2127,Cheri,BUSTOS,REPRESENTATIVE,D,IL,17,B001286,114
165,Ken,CALVERT,REPRESENTATIVE,R,CA,42,C000059,114
172,Maria,CANTWELL,SENATOR,D,WA,N/A,C000127,114
,,CARDIN,SENATOR,D,MD,N/A,99999999999999999,114
179,Thomas,CARPER,SENATOR,D,DE,N/A,C000174,114
2159,Matt,CARTWRIGHT,REPRESENTATIVE,D,PA,17,C001090,114
1828,Robert,CASEY,SENATOR,D,PA,N/A,C001070,114
186,Steve,CHABOT,REPRESENTATIVE,R,OH,1,C000266,114
2356,Liz,CHENEY,REPRESENTATIVE,R,WY,N/A,C001109,115
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
,,COHEN,REPRESENTATIVE,D,TN,9,99999999999999999,114
2259,Bonnie,COLE,REPRESENTATIVE,D,NJ,12,W000822,114
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,114
2273,Barbara,COMSTOCK,REPRESENTATIVE,R,VA,10,C001105,114
229,John,CONYERS,REPRESENTATIVE,D,MI,13,C000714,114
1984,Christopher,COONS,SENATOR,D,DE,N/A,C001088,114
1825,Bob,CORKER,SENATOR,R,TN,N/A,C001071,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
2321,Charlie,CRIST,REPRESENTATIVE,D,FL,N/A,C001111,115
2175,Ted,CRUZ,SENATOR,R,TX,N/A,C001098,114
2138,Steve,DAINES,SENATOR,R,MT,N/A,D000618,114
1976,Theodore,DEUTCH,REPRESENTATIVE,D,FL,21,D000610,114
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
1857,Keith,ELLISON,REPRESENTATIVE,D,MN,5,E000288,114
99999999999999,,ESPAILLAT,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
2298,Dwight,EVANS,REPRESENTATIVE,D,PA,N/A,E000296,115
2067,Blake,FARENTHOLD,REPRESENTATIVE,R,TX,27,F000460,114
1332,Dianne,FEINSTEIN,SENATOR,D,CA,N/A,F000062,114
2324,A.,FERGUSON,REPRESENTATIVE,R,GA,N/A,F000465,115
1633,Jeff,FLAKE,SENATOR,R,AZ,N/A,F000444,114
2061,Charles,FLEISCHMANN,REPRESENTATIVE,R,TN,3,F000459,114
1888,Bill,FOSTER,REPRESENTATIVE,D,IL,11,F000454,114
414,Rodney,FRELINGHUYSEN,REPRESENTATIVE,R,NJ,11,F000372,114
2122,Tulsi,GABBARD,REPRESENTATIVE,D,HI,2,G000571,114
2356,Liz,GAETZ,REPRESENTATIVE,R,WY,N/A,C001109,115
99999999999999,,GALLAGHER,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
2226,Ruben,GALLEGO,REPRESENTATIVE,D,AZ,7,G000574,114
99999999999999,,GARDNER,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
2049,Bob,GIBBS,REPRESENTATIVE,R,OH,7,G000563,114
1866,Kirsten,GILLIBRAND,SENATOR,D,NY,N/A,G000555,114
1801,Louie,GOHMERT,REPRESENTATIVE,R,TX,1,G000552,114
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,114
1487,Kay,GRANGER,REPRESENTATIVE,R,TX,12,G000377,114
457,Chuck,GRASSLEY,SENATOR,R,IA,N/A,G000386,114
478,Luis,GUTIERREZ,REPRESENTATIVE,D,IL,4,G000535,114
2302,Margaret,HASSAN,SENATOR,D,NH,N/A,H001076,115
511,Alcee,HASTINGS,REPRESENTATIVE,D,FL,20,H000324,114
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
2040,Joseph,HECK,REPRESENTATIVE,R,NV,3,H001055,114
