speech_id,speaker_id,proceeding_id,topic_id,word_count,speech_text,file_name
3,COURTNEY,proceeding_id,topic-id,825,"Mr.Speaker, perhaps the most powerful moment on Inauguration Day when the President gave his speech was when he reminded his supporters and the people who were assembled there that there were too many in America who were forgotten by the Federal Government; and that it was his promise that he would, in fact, remember them in terms of how he developed policies and programs during his time as It is a message which obviously he used quite effectively on the campaign trail. I think personally it is what propelled him into the White  Fast forward to where we are today, Mr.It is hard to really square that rhetoric with the budget, which was submitted a couple of weeks ago by the Trump administration. The one agency which probably has the closest connection to rural America, that part of the country which he was addressing in his comments on Inauguration Day, the U.Department of Agriculture, was cut by 20 percent in terms of what came over from the White  Again, that was the third largest hit of any Federal agency of the entire Federal Government, the U.Department of It does so much in terms of helping farmers, small town America, and rural America in terms of dealing with the challenges which, again, I think, were just a huge, powerful undercurrent in last November's election.  In particular, the budget proposes eliminating completely the USDA Rural Development for drinking water and wastewater programs, which, again, for so many communities, is desperately needed.  Again, the property tax base of small town and rural towns across the country really cannot, by themselves, pay for sewer plants, pay for drinking water upgrades. I know because I come from one of those districts.  Even in Connecticut, the eastern half of the State, the Second Congressional District is small town, rural America for which the USDA Rural Development programs have been the lifeblood of making sure that community facilities and, again, a decent quality of life are possible.  So, for example, in towns like Vernon, Connecticut, where I am from, the Bolton Lake sewer plant was just finished a couple of years ago through USDA Rural In the town of Putnam, $28 million over just the last couple of years, they just built a new fire station, the north Putnam fire station, with USDA Rural  Stafford, Connecticut, there was a sewer plant upgrade. Windham, Connecticut, there was a new community health facility, which was a community facilities program, through USDA Rural There were projects in Thompson, Connecticut, $2.4 million for water and sewer; Brooklyn, Connecticut, $1.3; Killingly, and the list goes on and on.  This budget, let's be clear, doesn't just give this program a little haircut or tailor it back. It eliminates it. It eviscerates this type of help which, again, rural communities, with their own resources, are incapable of accomplishing on their own.  Mr.Speaker, a budget is more than just a collection of numbers. It is a statement of your priorities. It is about what is important to you as an executive or as a legislator, and this budget fails that test for rural America, for the forgotten Americans which the President addressed on Inauguration  I am confident that, in this Chamber, there is potential for a bipartisan group of Members to push back on this type of really just backwards budgeting and backwards priority.  Again, in terms of what my father told me a long time ago: Talk is cheap. Put your money where your mouth is. Put your budget where your rhetoric is.  On that score, this administration has failed that test. It has also failed it with the Sea Grant program for fishermen in Again, 90 percent of seafood that is consumed in this country is from overseas.  Even though we are a great maritime country, the Sea Grant program helps[[Page H2604]]fishermen deal with all the complexity of the maritime domain in terms of regulations. I have seen it in  Again, my district borders on Long Island We have seen shellfish growers coming back to life because of the Sea Grant program administered through the University of Connecticut Avery Point Campus that has given these really hardworking, inspiring entrepreneurs the tools that they need to again give America a domestic seafood industry. It is just ridiculous when you look at the disproportion of imported seafood that is consumed on the tables of Americans all across the country.  Later today, 100 House Members, on a bipartisan basis, will be releasing a letter of support for the Sea Grant program. Congressman Zeldin, Republican from Long Island, and myself led that letter. Again, this is where our focus ought to be in terms of this country.  If you really care about making America great again, it is about giving people out there in the great heartland and in the coastal sections of this country the tools that they need to grow, thrive, innovate, and succeed. This budget fails that test.                          ____________________",CREC-2017-04-03-pt1-PgH2603-4.txt
11,YARMUTH,proceeding_id,topic-id,169,"Mr.Speaker, tomorrow the city of Louisville will lay to rest Officer Nick Rodman, a loving husband, father, son, and friend, who died in the line of duty last week.  The special commitment that the men and women of law enforcement make to protect and serve their fellow citizens is one that the Rodman family holds dear, and Nick felt that call to service deeply, growing up as the son and brother of fellow officers.  He is survived by the loves of his life: his wife, Ashley; his young son, Mason; and his newborn daughter, Ellie  I ask my colleagues and our Nation to join me, the Louisville Metro Police Department, and our entire city in honoring this public servant as he is laid to rest.  To Nick's wife, Ashley: I hope the memories you have with your husband will be a source of comfort as you face this heartbreaking tragedy. The city of Louisville joins you in grief, and we will ensure that Nick will always be remembered.                          ____________________",CREC-2017-04-03-pt1-PgH2604-7.txt
13,BABIN,proceeding_id,topic-id,161,"Mr.Speaker, I rise today to strongly urge my colleagues in the United States Senate to confirm Judge Neil Gorsuch to the U.Supreme  Since being nominated by President Trump, Judge Gorsuch has provided unprecedented transparency and access. He has completed three rounds of intense questioning by the Senate Judiciary Committee, which totaled nearly 20 hours and covered nearly 1,200 questions. This was the longest hearing of any nominee in the 21st century.  During this time, Judge Gorsuch showed himself to be uniquely qualified and experienced to serve on our Nation's highest court. In fact, he showed the exact same qualification that previously earned him unanimous approval by the U.Senate in 2006 to serve on the Tenth Circuit Court of Then-Senators Obama, Biden, Clinton, and Schumer were all serving in the Senate at that time and raised no objections whatsoever to Judge Gorsuch's nomination.  Mr.Speaker, it is time for the Senate to put politics aside and confirm Judge Gorsuch to the U.Supreme                          ____________________",CREC-2017-04-03-pt1-PgH2604-8.txt
20,SHERMAN,proceeding_id,topic-id,537,"Mr.Speaker, I yield myself such time as I may consume.  Mr.Speaker, I rise today in support of 92.  I am the chief Democratic cosponsor and the gentleman from South Carolina is the sponsor of this resolution condemning North Korea's development of multiple intercontinental ballistic missiles, and for other purposes. It should be noted that this resolution now has 120 bipartisan cosponsors, including the ranking member and chairman of the committee, the chairman of the Asia and the Pacific Subcommittee, and myself as ranking member of the Asia and the Pacific  This resolution is necessary at a time when the regime of Kim Jong-un is as belligerent as ever. His intentions are clear. He is conducting intermediate and intercontinental ballistic missile tests and nuclear tests for the purpose of being in a position to intimidate the United States and the rest of the world. Just this month the regime in Pyongyang released a fake propaganda video showing the imagined destruction of a U.aircraft carrier by its forces.  In addition to the five nuclear weapons North Korea has already tested, Kim Jong-un continues to test ballistic missiles, including submarine-launched ballistic missiles, and is moving toward intercontinental ballistic missiles. These missiles have as one of their chief purposes to be able to reach the continental United States and particularly the Pacific Coast of the United  We used to have the luxury of saying that North Korea just wants attention; they just want this or that concession. But now their goal is clear. It is to threaten hundreds of millions of It is clear that North Korea is testing missiles and bombs for the purpose of developing warheads that can do just that.  The resolution we are considering today, 92, condemns North Korea's intercontinental ballistic missile tests, calls for the United States to apply economic sanctions on North Korea, and calls on China to pressure North Korean leaders to cease their provocative behavior, abandon and dismantle their nuclear missile program, and it calls upon China to curtail, or at least threaten to curtail, their economic support of  President Xi is coming to the United He will meet with our President in And I hope that the recent comments that we are going to handle this issue on our own are not what comes out of Florida, because, instead, we must demand that China pressure North Korea.[[Page H2607]]  According to the U.S.-China Economic and Security Review Commission, China accounts for over 90 percent of North Korea's foreign trade and approximately 95 percent of its foreign direct investment. Beijing needs to know that there are serious challenges to its relationship with the United States if it does not assist us in this effort. Officials in Beijing cannot assume that their companies will always have access to the United States market.  There are those who say it is unthinkable to link our trading relationship with China to its position on North I believe it is unthinkable for us not to use all the tools at our disposal to try to prevent the least predictable leader in the world--and perhaps the least stable--from having the capacity to hit the United States mainland with intercontinental nuclear-tipped ballistic missiles.  Mr.Speaker, I reserve the balance of my time.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
21,SHERMAN,proceeding_id,topic-id,10,"Mr.Speaker, I continue to reserve the balance of my time.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
22,SHERMAN,proceeding_id,topic-id,10,"Mr.Speaker, I continue to reserve the balance of my time.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
23,CHABOT,proceeding_id,topic-id,338,"Mr.Speaker, I rise in support of 92, condemning North Korea's development of multiple intercontinental ballistic missiles.  Without question, North Korea's relentless effort to develop ballistic missiles poses a serious threat to the security of the United States, especially to our allies in the region, and possibly all across the globe.  For the past several years, Kim Jong-un has made significant strides in their nuclear missile program. It seems like every few weeks we hear new reports concerning the growing North Korea nuclear threat. North Korea has conducted multiple nuclear tests and demonstrated that it is bound and determined to develop a ballistic missile capable of delivering a nuclear warhead to the continental United  It has also become abundantly clear that the Kim regime will continue to[[Page H2608]]work toward a nuclear warhead, no matter the cost. Just today, a senior North Korean defector stated that the young, irresponsible dictator will do anything to remain in power and that Kim believes nuclear weapons will help guarantee his rule.  We must condemn these actions and begin taking concrete steps to mitigate the growing North Korean threat. I also believe we must work closer than ever with our South Korean partners and increase our already strong security alliance by assisting with technological developments, carrying out more joint exercises, and quickly making the Terminal High Altitude Area Defense systems, or THAAD, in South Korea operational.  I commend my friend, Mr.Wilson of South California, for his leadership in championing 92. I also want to thank Chairman Royce and the ranking member, Mr.Eliot Engel, for, again, using the format of the Foreign Affairs Committee in a bipartisan manner.  This is one committee in the House--and there are a few others--that works very much in a bipartisan manner. This is one we do need to be united on. The threat from Kim Jong-un is serious. It is dangerous. It is a threat to world peace. We need to take it seriously. 92 goes in the right direction. I, again, want to thank Mr.Wilson for proposing it.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
24,SHERMAN,proceeding_id,topic-id,182,"Mr.Speaker, I yield myself such time as I may consume.  Mr.Speaker, I will add a comment to the upcoming visit of President Xi to Florida and President Trump's statement in advance of that: Well, we don't need China to get tough on North  The fact is, President Trump has not given us a plan that would put effective pressure on Pyongyang that does not involve There is no magic road to dealing with the North Korean threat that does not go through  My fear is that, in the guise of being the tough guy who doesn't need China's help, in fact, President Trump is preparing to fail to get China's help in controlling North Korea, is preparing to be weak in dealing with China and to weakly accept their unwillingness to act, and then disguising it all in some machismo statement of strength: Oh, we don't need  We do need There is no plan to control North Korea that doesn't involve Macho statements are not an excuse for real strength in dealing with President  Mr.Speaker, I reserve the balance of my time.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
25,SHERMAN,proceeding_id,topic-id,135,"Mr.Speaker, I yield myself the balance of my time.  Mr.Speaker, I would simply say that I commend the gentleman from South Carolina, Mr.Wilson, for authoring this resolution, which has secured the support of 120 bipartisan cosponsors, including the chair and ranking member of the full committee and the chair and, in my case, ranking member of the relevant subcommittee.  I, again, call on my colleagues to join me in supporting 92, condemning North Korea's development of multiple intercontinental ballistic missiles, and for other purposes.  We need an official congressional condemnation of North Korea's continued ballistic missile testing and its related nuclear program. We need to ramp up sanctions on North Korea, while applying pressure to China, hopefully later this week, for being North Korea's economic lifeline.  Mr.Speaker, I yield back the balance of my time.  ",CREC-2017-04-03-pt1-PgH2605-5.txt
28,SIRES,proceeding_id,topic-id,344,"Mr.Speaker, I yield myself such time as I may consume.  Mr.Speaker, I rise in support of this resolution.  I would like to start by thanking Chairman Royce, Ranking Member Engel, and their staffs for working with me to bring 54 to the floor. I would like to thank my friend from South Carolina, Chairman Jeff Duncan, who is in charge of the Subcommittee on the Western Hemisphere and led a delegation to Argentina last March to help restart relations with the Macri administration.  54 reaffirms the strong U.partnership with Argentina and acknowledges their President Mauricio Macri for his efforts to make the necessary changes and bring Argentina back into the international community. President Macri worked hard to stimulate growth and bring Argentina back as a powerful player in the region after years of isolationist views from the  I was pleased to visit Argentina last year and see, firsthand, the changes the new government was making, and it was refreshing to see the progress already being made. Most importantly, we received assurances from the Macri administration that they will restart the investigation into the horrific 1994 bombing of the AMIA Jewish center in Buenos Aires, which left 85 dead and hundreds more injured, and the untimely and suspicious death of prosecutor Alberto Nisman, who was found dead on the eve of delivering his explosive report which outlined the connections between the bombing, Iran, and former Argentina President Cristina Kirchner's efforts to cover up these links. Unfortunately, the victims of these attacks and their families still lack answers to what really occurred, and the troubling reports of Iran's role in the bombing deserves thorough investigation that finally brings the perpetrators to justice.  Argentina is a great partner and a friend, and I believe we must continue to support our friends and continue to grow this critical relationship. Once again, I thank my colleagues for their support of this resolution and urge Members of the House to support 54 to further strengthen the great ties our country has with  Mr.Speaker, I reserve the balance of my time.  ",CREC-2017-04-03-pt1-PgH2609.txt
