speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
667,topic-id,196,"As an African-American woman and a Member of Congress, I know I stand on the shoulders of giants.  My election would not have been possible without the efforts of Maya Angelou, Shirley Chisholm, Fannie Lou Hamer, Sojourner Truth, Rosa Parks, and many other sheroes who came before me. These women championed civil rights and women's rights and fought oppression so that African-American women could have a voice in politics.  When I was elected, I became the 100th woman to serve in the 114th Congress, the 20th woman in the Congressional Black Caucus, and only the second African-American woman to represent North Carolina in That night was a historic win for women, but it was particularly special for African-American women.  Shirley Chisholm once said: ``Women must become revolutionary. There cannot be evolution but revolution.''  At a time when the President's Cabinet does not include a single African-American woman and just one African-American woman in the Senate, we are reminded that there is still much work to do.  If this administration will not make a place for us, we will make one for ourselves. It is time to stand up, speak up, and make our voices heard.                          ____________________",CREC-2017-02-16-pt1-PgH1257.txt,2201,EXECUTIVE CALENDAR,2017.0,16.0,February
755,topic-id,182,"Mr.Speaker, waters of the United States, or WOTUS, has been a thorn in the side of Americans, especially our farmers, since its introduction. WOTUS is a rule issued under the Clean Water Act by the EPA and Army Corps of Engineers designed to redefine the scope of waters protected and regulated by the Federal  WOTUS would grant the Federal Government regulatory power over virtually any place where water flows in the United States; that includes ditches, puddles, streams, or any manmade constructions, you name it. If enacted, it would undermine the rights of States, local governments and landowners, and create more red tape, preventing economic growth and jobs, particularly in the agriculture industry. If it sounds ridiculous, that is because it is.  WOTUS was flawed from the beginning. It has been held up in the courts since 2015.  To ensure WOTUS never sees the light of day and completely eliminate the potential of it becoming a reality, I introduced legislation to repeal this harmful rule.  I look forward to working with President Trump and my colleagues on this very important issue.                          ____________________",CREC-2017-02-16-pt1-PgH1280-4.txt,2239,DISAPPROVING RULE SUBMITTED BY DEPARTMENT OF LABOR RELATING TO DRUG,2017.0,16.0,February
1610,topic-id,133,"Madam Chair, the cumulative cost of regulations in our country is now at the tune of $2 trillion, and it costs us $60 billion just to enforce those regulations every year. With all due respect, that is not window dressing. When you take a look at those numbers, it is clear to see that the bureaucratic state of our Federal Government is threatening our job creators and killing our economy.  Today, we have an opportunity to reverse course on the stifling regulations flowing from Washington by passing H.998, the SCRUB Act, as amended here by my colleague, Congresswoman Martha  The SCRUB Act will establish a commission to review existing Federal regulations and identify for Congress which of those place unnecessary costs on our economy. The amendment offered by the gentlewoman from Arizona (",CREC-2017-02-28-pt1-PgH1370.txt,99999999999999,MOMENT OF SILENCE IN REMEMBRANCE OF KANSAS SHOOTING VICTIMS,2017.0,28.0,February
1611,topic-id,65,"Madam Chair, in closing, we owe this to the American people. We owe this to my children and your grandchildren. We owe this to our local job creators to break the chains of these burdensome regulations and, once again, unleash the spirit of American innovation and enterprise that made this country the envy of the world by passing the SCRUB Act and the McSally amendment.  ",CREC-2017-02-28-pt1-PgH1370.txt,99999999999999,BAHRAIN,2017.0,28.0,February
130,topic-id,445,"Mr.Speaker, I rise today with my fellow freshmen of the 115th Congress and commit to civility.  The 435 of us represent 320 million With a population that large and that diverse, we are going to have our differences. We are going to disagree which direction the Nation needs to go. With a free and open democracy, we all have that right. Vigorous discussion makes us stronger.  However, despite our differences, we are all still Americans, we want what is best for our country, and we must keep our debates respectful. We are all Americans first before we are Republicans, Democrats, Independents; and we can't forget this.  As Americans, we do have major issues facing us; and the world is looking to us to be leaders and find solutions. We must remain civil to each other to achieve this goal. Let's not forget that ISIS will never ask if we are Republicans or The unemployment line doesn't ask if we are Republicans or Democrats either. The Federal deficit doesn't care if we are Republicans or These are shared issues, and we are all in this together.  Politics is a contact sport, or so I am told. It has been that way since George Washington was President and Thomas Jefferson funded an opposition paper against him, all the while serving in his Still, today, character assassinations are a common occurrence in our political landscape, and it is wrong. Americans are at our finest when we work toward our common goals respectfully.  I spent nearly 30 years in the Air Force, and, during that time, I was fortunate to hold five commands. It didn't matter to me or our mission if a subordinate or a teammate was a Republican or We fought in Iraq, stood up missile defenses in Israel, and conducted missions worldwide as Americans, not as Republicans or  In the Air Force, we were all Americans, we are all airmen, and we all had one common goal. We need more of that on Capitol We are all Americans, we are all Members of Congress, and we all care about the future of our country.  One day, like all of us, I will meet our And when I do, I believe He will not care about what political party I associated myself with, but He will care how I treated my brothers and sisters. Let us agree to be a bright light on how to treat each other while we debate the issues we care about.  Let us, in the 115th Congress, all agree to work together, be civil to each other, be respectful with each other, and remember we are Americans before we are Republicans or  ",CREC-2017-02-14-pt1-PgH1162-2.txt,2330,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,2017.0,14.0,February
634,topic-id,304,"Mr.Speaker, I rise today to recognize a cutting-edge aerospace and defense company located in the Sixth Congressional District of Kentucky, SMC Manufacturing Services.[[Page H1251]]  For more than 30 years, the Coats family has been the epitome of Kentucky ingenuity and progress. In 1978, they began Southland Manufacturing Company, which has evolved into SMC Manufacturing Services, and now employ more than 140 people at its Nicholasville, Kentucky, headquarters.  Recently, I had the chance to visit SMC and tour their 45,000-square-foot facility, which helps to build components for the Common Remotely Operated Weapon Station, or This product is a stabilized mount that contains a sensor suite and fire control software, allowing on-the-move target acquisition and first-burst target engagement.  This facility has increased by 20,000 square feet in 2016 and has the ability to house more than 300 employees, drawing its employees from counties in the Sixth District and surrounding counties.  However, SMC not only supplies companies in Kentucky, but across the United States and abroad. One example of where SMC supports the defense of this Nation is their partnership with Kongsberg Protech Systems, KPS, of Johnstown, Pennsylvania, which is located in the district of my friend and colleague Congressman Keith  Today, with more than 15,000 CROWS in service, this weapon system can be found on more than 25 different platforms in the United States arsenal, including the Stryker, MRAP, Abrams, and Amphibious Combat It is a tested, proven system that is relied on by the Army, the Navy, and the  I applaud SMC for being a veteran-friendly workplace and a manufacturing company that is proud to employ about an equal number of men and women. I am pleased to support job-creating manufacturing companies like SMC and KPS which positively impact States like Kentucky and help to strengthen our national security capabilities while supporting our veterans.                          ____________________",CREC-2017-02-16-pt1-PgH1250-3.txt,2238,EXECUTIVE CALENDAR--Continued,2017.0,16.0,February
124,topic-id,270,"Mr.Speaker, I thank my colleague, Congressman Mike Johnson from Louisiana, for helping coordinate this effort.  When I got here to Washington for orientation, I will never forget very early on, one of my colleagues, Congressman Jodey Arrington from Texas, came up to me and said: I want to introduce myself. And he did.  He was the first Republican that came up to me and said: I want to get to know you on a personal level. I want to be your friend because we are going to be working together.  I have to tell you how impressed I was that somebody was reaching out across the aisle because they wanted to develop a personal relationship, knowing that we would be able to work together.  Later on, I got to meet the rest of my colleagues at Harvard, where they have a bipartisan program that is a wonderful program and gives you an opportunity to help build these relationships, which I think is so important, especially today in our time.  We just got off one of the ugliest elections in history where it really felt as if civility disappeared. Today it[[Page H1163]]sometimes still feels that way, which is why I think this is such an important effort.  As Members of Congress, we need to set an example of statesmanship for younger generations of Americans to follow. We must remember that every person should be respected. Somebody yesterday said something that really struck a chord. It is not that we need to agree on everything or that we need to agree all the time, but we need to learn to disagree better.  ",CREC-2017-02-14-pt1-PgH1162-2.txt,2311,PROVIDING FOR CONGRESSIONAL DISAPPROVAL OF A RULE SUBMITTED BY THE,2017.0,14.0,February
673,topic-id,105,"Mr.Speaker, I rise today to echo concerns by my colleagues. I am concerned, but not surprised, about the growing revelations from the intelligence community of the Trump campaign's contact with Russian officials. Russia's involvement in our elections undermines American democracy.  General Flynn's resignation is no substitute for answers to grave concerns and questions over President Trump's involvement in secret communications with the Russians and Vladimir Putin's hand in our elections.  I believe that this is just the tip of the iceberg. This is not just about leakers, but this is about the Trump-Russia ties. We need a full, bipartisan investigation. It is our duty.                          ____________________",CREC-2017-02-16-pt1-PgH1258-5.txt,2311,THE AFFORDABLE CARE ACT,2017.0,16.0,February
1341,topic-id,140,"Mr.Speaker, I rise today as we close out Black History Last night at the Oscars, we saw ``Moonlight'' win the Best Picture, which was a real milestone for Black filmmakers. We also saw Viola Davis, the first African-American woman to win an Oscar, an Emmy, and a  We have come a long way since the civil rights era. As a kid in school, I was intrigued by the period. It is when I first learned about standing up, fighting for people, for equality against racial discrimination, and injustices. The struggle is real, and it continues today.  I am looking forward this weekend to going with one of my civil rights heroes, Congressman John Lewis, on a Faith and Politics trip to Selma, Montgomery, and May we learn from history to end the hatred, divisions, and the injustices that continue.                          ____________________",CREC-2017-02-27-pt1-PgH1324-2.txt,2311,EXECUTIVE CALENDAR,2017.0,27.0,February
1542,topic-id,353,"Mr.Speaker, I rise today to introduce my guest for tonight's joint session of Roque Pech is a constituent of mine from California's 44th He lives in He came to this country at the age of 3 years old. His parents were from Mexico, coming here for a better life for their kids. His parents were hardworking, getting odd jobs, blue-collar workers, really trying to make it.  Now, Roque is a beneficiary of He is a DREAMer; somebody who was looking forward to going to college, was able to go to undergrad and even go to graduate school, where he studied education. He is one of the many faces of DREAMers whom our country has benefited from As a teacher, he helps other students who are struggling in math. He is a sixth grade teacher who looks into the eyes of kids who dream big, who want to make it, and he instills in them some hope.  Tonight, Roque will be up in this gallery for the first time, looking down on a President who has been demeaning immigrants, who hasn't seen the value of what immigrants provide to this country.  Now, this is very personal for me. My parents are also immigrants from They came here because they wanted a better life for their kids. And I beat the odds. I got a piece of the American Dream, and now I fight for those to make sure that others have the same opportunity.  Roque has been spared from the deportations. He is an example of immigrants that continue to contribute to our country. He also sits on the Wilmington Neighborhood Council, where he provides input and is active in the community. Because of DACA, hundreds of kids are benefiting from him being a teacher.  I believe we continue to need comprehensive immigration reform to fix our broken immigration system. It is the best answer. Until then, I am going to continue to fight to protect hardworking families and immigrants who continue to provide value, DREAMers like Roque, who only know the United States as their home. He is American in every way.                          ____________________",CREC-2017-02-28-pt1-PgH1359-4.txt,2311,EXECUTIVE CALENDAR--Continued,2017.0,28.0,February
