speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
234,topic-id,242,"Mr.Speaker, as a practicing physician in the Louisiana and Mississippi delta, I have some of the best patients, but some of the poorest. They can't afford to see me because they can't afford ObamaCare, increased costs, skyrocketing premiums, high deductibles. I can't cure a disease if I can't see the patient. The cost is just too high for  We have heard about Medicaid expansion here today. That is a second-class insurance for first-class people. I can't get my patients to see a specialist. They have to go to the hospital. They have to go to the emergency room. Prices go through the roof.  I have heard my colleagues on the other side of the aisle reference the Hippocratic With all due respect, I don't think they would know what the Hippocratic Oath says if their life depended on it. Guess what? It does. Google it.  Let me educate you. Let me educate our colleagues. It says I will always seek a path to a cure for all diseases. ObamaCare will not let me do that.  We have got to do better. We cannot cram people into a healthcare system that has failed just so politicians can thump their chest and have some type of mysterious victory that is hollow and very, very small.  We need to pass this American Health Care ObamaCare has failed. It is a sham of an insurance. Americans deserve better. We deserve better as My patients deserve better.  ",CREC-2017-03-24-pt1-PgH2393.txt,2244,AMERICAN HEALTH CARE ACT OF 2017,2017.0,24.0,March
698,topic-id,28,"Mr.President, I ask unanimous consent that the order for the quorum call be rescinded.  The PRESIDING OFFICER (Mr.Strange). Without objection, it is so ordered.                       Nomination of Neil Gorsuch  ",CREC-2017-03-28-pt1-PgS2032-2.txt,1695,AMERICAN HEALTH CARE ACT OF 2017,2017.0,28.0,March
699,topic-id,1840,"Mr.President, redundancy is often a virtue, so I am about to practice redundancy.  Last week, I made a speech on the floor of the Senate about the upcoming votes in connection with the President's nomination of Neil Gorsuch to be Associate Justice of the Supreme Court of the United States, and I talked about the 230-year history of this body to always have Presidential nominations for judges--for Supreme Court Justices, for Federal district judges, and for circuit judges up to 2003 by a majority vote. Never in the history of this body has the Senate refused to allow a vote, an up-or-down vote on a Supreme Court  Because I hear that may be what the Democrats are planning to do--even though Mr.Gorsuch may be one of the most remarkably talented nominees in a long, long time--I want to make the address that I made last week again, and I am going to deliver it word for word in hopes that someone may actually hear it.  President Trump's nomination of Judge Neil Gorsuch to be a member of the U.Supreme Court will be considered on the floor of the Senate next week. Some have suggested that instead of allowing a majority of Senators to decide whether to approve the Gorsuch nomination, there should first be a so-called cloture vote to determine whether to cut off debate.  Now, you can see what would happen. Cutting off debate requires the approval of 60 There are 46 Democratic Senators, so if 41 of the 46 Democrat Senators vote not to cut off debate, we would never get to a vote on Judge We would never get to a vote. In other words, the 41 Democratic Senators would have filibustered to death the Gorsuch nomination to the Supreme Court of the United States, a partisan act that has never happened before in the 230 years of the  Filibustering to death the Gorsuch nomination or any Presidential nomination, for that matter, flies in the face of 230 years of Senate tradition.  Throughout the Senate's history, approval of even the most controversial Presidential nominations have required only a majority vote. For example, in 1991, President George H.Bush nominated Clarence Thomas to be Associate Justice of the U.Supreme[[Page S2037]]The debate was bitter. The vote was narrow. The Senate confirmed Justice Thomas 52 to 48.  Although Senate rules have allowed any one Senator to try to filibuster the nomination to death, to insist on a 60-vote vote, not one did. In fact, Senate rules have always allowed Senators the option to filibuster to death a Presidential nomination, yet it has almost never happened.  According to the former Senate historian, with one possible exception, which I will describe later, the number of Supreme Court Justices in our country's history who have been denied their seats by filibuster is zero. The number of the President's Cabinet members in our country's history who have been denied their seats by a filibuster is zero. The number of Federal district judges in our country's history who have been denied their seats by a filibuster is zero. I know that for a fact because an attempt was made to filibuster one--Judge McConnell from Rhode Island--and I voted against that, as did other Republican Senators, because we thought it was wrong to break the Senate's 230-year tradition of always considering judges by majority vote, and we prevailed.  We could have done it, but we didn't do it. That is the point.  Next week, the Democrats can filibuster Judge Gorsuch to death, but they shouldn't do it. They shouldn't do it.  Until 2003, the number of circuit judges in our country's history who have been denied their seats by filibuster was zero.  Senator Everett Dirksen did not filibuster President Lyndon Johnson's nominees. Senator Robert Byrd did not filibuster President Reagan's nominees. Senator Howard Baker did not filibuster President Carter's nominees. Senator Bob Dole did not filibuster President Clinton's nominees.  During most of the 20th century, when one party controlled the White House and the Senate 70 percent of the time, the minority never filibustered to death a single Presidential nomination.  On the other hand, there have been plenty of filibusters on legislation--so many that in 1917, the Senate adopted the so-called cloture rule as a way to end filibusters. The idea is, after you talk enough, you should bring it to an end, so they had a supermajority for that purpose. The rule was amended in 1949, 1959, 1975, 1979, and 1986--always in response to filibusters on legislation, never on nominations. It was the 1975 change that established the current cloture standard of 60 votes to end debate, except on amendments to the Standing  Filibustering a Presidential nomination has always been treated differently than filibustering a legislative matter. The filibuster of legislation is perhaps the Senate's most famous characteristic. It has been called ``democracy's finest show, the right to talk your head off.''  As the actor Jimmy Stewart says in the movie ``Mr.Smith Goes to Washington'': ``Wild horses aren't going to drag me off this floor until those people have heard everything I've got to say, even if it takes all winter.'' That was Jimmy Stewart talking about his filibuster.  The late Robert Byrd described the importance of a legislative filibuster in this way in his last speech to the Senate: ``Our Founding Fathers intended the Senate to be a continuing body that allows for open and unlimited debate and protection of minority rights. Senators have understood this since the Senate first convened.''  In fact, the whole idea of the Senate is not to have a majority rule on legislation. Throughout Senate history, the purpose of the legislative filibuster has been to force consensus on issues, to force there to be a group of Senators on either side who have to respect one another's views so they work together and produce 60 votes on important matters. We did that last December in a piece of legislation that the majority leader called the most important legislation of the Congress, the 21st Century Cures There were enormous differences of opinion about it, but because Senator Murray, the ranking Democrat and I, and the Democrats and Republicans in the Senate and in the House, and President Obama and Vice President Biden all wanted a result, we formed a consensus. We resolved our differences, and we agreed on this most important piece of legislation that will help virtually every American family by advancing cures for cancer, Alzheimer's, diabetes, and a variety of diseases.  Nominations have always been treated differently from legislation. For example, under Senate rule XIV, any Senator can bring legislation directly to the Calendar of General Orders, bypassing committees. There is no such power for nominations. There is no rule XIV for nominations. Senate rules allow debate and, therefore, the possibility of filibuster on a motion to proceed to legislation. Debate is not allowed on a motion to proceed to nominations. So there can't be a filibuster on a motion to proceed to a nomination. In summary, while Senate rules have always allowed for extended debate or filibusters, the filibuster was never used to block a nomination until recently.  As I mentioned earlier, it was never used to block a Cabinet nomination, never used to block a Federal district judge, until 2003, never used to block a Federal circuit judge, and never used to block a Supreme Court Justice, with one possible exception. The exception occurred in 1968 when President Lyndon Johnson sought to elevate Associate Justice Abe Fortas to be Chief There was bipartisan opposition to that idea. When it became clear that the Senate majority would not agree, President Johnson engineered a 45-43 cloture vote so that Fortas could save face and appear to have won something, according to the former Senate Fortas then asked the President to withdraw the nomination.  Other than that, never has a Supreme Court nominee been filibustered to death in the Other than the Fortas nomination, the filibuster was never used to block any judicial nomination until 2003 and 2004, when Democrats for the first time decided to use the 60-vote cloture requirement to block 10 of President George Bush's nominees. I had just arrived in the I remember it well. I was really outraged by it because, as for the nominees, it was the right of the President to name them and the right of the Senate to reject them. But throughout history it was always by 51 votes. This unprecedented action by the Senate Democrats produced a threat by Republicans to change the Senate rules to make it clear that only a majority is required to approve a Presidential nomination. There was a negotiation, and eventually five of Bush's nominees were approved, five were blocked, and the rules weren't changed.  Then in 2011 and 2013, Republicans returned the favor. That happens around here--a precedent set by that side then becomes a precedent that this side, then, undertakes. In 2011 and 2013, the Republicans returned the favor by seeking to block five of President Obama's nominees for the circuit court by insisting on a 60-vote cloture on each. Republicans alleged the President was trying to pack the Federal Circuit Court of the District of Columbia with three liberal justices. To overcome Republican objections, the Democrats invoked the so-called nuclear option. They broke the Senate rules to change the rules. The new rule eliminated the possibility of 60-vote cloture motions for all Presidential nominations except for the Supreme Court, which is where we are today.  There have been other examples of minority Senators filibustering nominations to death, all of them during the last three administrations and all involving sub-Cabinet nominations. Then, of course, there have been delays in considering nominations.  My own nomination in 1991 as U.Education Secretary was delayed for 51 days--I thought improperly--by a Democratic President Reagan's nomination of Ed Meese as Attorney General of the United States was delayed 1 year by a Democratic No one has ever disputed our right in the Senate, regardless of who was in charge, to use our constitutional duty of advice and consent to delay and examine and sometimes to cause nominations to be withdrawn or even to defeat nominees by a majority vote.  But, as we approach the vote next week on Neil Gorsuch on the floor of the Senate, it is useful to remember that the tradition of the Senate has been to treat legislative matters one way and Presidential nominations a different way: to filibuster to death[[Page S2038]]legislation, yes; to filibuster to death Presidential nominations, no.  Should the Gorsuch nomination come to the floor soon, as I believe it will, overwhelming Senate tradition requires that whether to approve it should be decided by a majority vote and there should be no attempt by the minority to filibuster the nomination, especially of such a qualified man.  I thank the Presiding Officer, and I yield the floor.  I suggest the absence of a quorum.  The PRESIDING The clerk will call the roll.  The senior assistant legislative clerk proceeded to call the roll.  ",CREC-2017-03-28-pt1-PgS2032-2.txt,1695,AMERICAN HEALTH CARE ACT OF 2017,2017.0,28.0,March
960,topic-id,981,"Mr.President, I notice my distinguished friend was indignant over the Supreme Court debate. I think each of us has a right to have his own opinion. Here is mine.  There is such a thing called the Thurmond-Leahy rule. It has been in place for a while. I think it reads that after June of a Presidential election year, the Senate will not confirm a[[Page S2090]]President's nominees. That is a bipartisan rule that has been enforced by the Senate for several years. Senator McConnell moved it up three months, from June to March--that is true--even though Democratic leaders said that is exactly what they would have done if the shoe had been on the other foot.  Democrats are saying that as a result of that--the 3-month change--which is what they said they would have done anyway, they are going to do something that has never been done before: They are going to deny a Supreme Court Justice a nomination by not allowing a majority vote. That has never happened in 230 years. Our nominations have always been decided by a majority vote. There was a little incident in 1968 with Abe Fortas when President Johnson sought to elevate him to Chief Justice, but that has been the tradition in the We have always approved Presidential nominees by a majority vote, and we have always approved Cabinet members by a majority vote, even controversial ones. We have never required them to get 60 votes--ever--and the same with Federal district judges. And the same was true with Federal circuit judges until the Democrats started using the filibuster to require 60 votes, as has been well documented here. So I think people need to know the facts.  What the Democrats are proposing to do next week--quite apart from the fact that Judge Gorsuch is one of the most eminently qualified people we have seen come around in a long time--flies in the face of 230 years of tradition in the Senate by insisting that a Presidential nominee to the Supreme Court requires more than 51 votes to be confirmed.  I looked very quickly back at my own votes. None of us are perfect, and I am not asking for any merit badges, but I wonder where the Democrats are who are trying to do at least what I was trying to do when President Obama was there. I found at least 10 times that I voted for cloture--voted to cut off debate--on controversial nominees with whom I disagreed, and then I voted against them when the vote was 51.  With Secretary of Labor Perez, cloture was invoked 60 to 40. If I had voted no, that would have denied him his Cabinet position. He is now the chairman of the Democratic National I cannot think of any Cabinet member I disagreed more with, other than perhaps the one I am about to mention next, but I thought the President deserved to have his own nominee, and I thought we ought to respect the tradition of never having denied a Cabinet member a position because of a 60-vote requirement.  Another one was John King, the Education I asked President Obama to appoint him or somebody of his choosing. I thought we needed an Education Secretary for a year even though I have great differences with John I respect him greatly, but I have differences with him.  So I got him confirmed as chairman--I don't want to say it that way. I asked the President to do it, as chairman of the committee. I saw that he had a prompt confirmation, and then I made sure he had enough votes to be confirmed--not by much. When it came to cloture, I may have even voted for him when it came to it, just because I thought the President deserved to have his own appointment.  Then there was Attorney General Cloture was invoked with only 66 votes. I voted to end debate and have a vote on her.  Secretary of Defense Chuck Hagel--there was opposition to him. I voted no there on confirmation, but I voted to make sure that there was a vote. I voted for cloture.  For two National Labor Relations Board members and a National Labor Relations Board General Counsel, cloture was invoked by 64, 65, and 62 votes--very close. I voted against all three of them for confirmation, just as I did Secretary Perez, because I disagreed with them so much. But I thought that we ought to respect the fact that we confirm Presidential appointees by 51 votes.  There are three or four others, but I want to mention only one more specifically: District Court Judge John McConnell, Jr., from Rhode There was an effort on this side of the aisle to deny him a cloture vote. I resisted that. I talked to some other I voted for him for cloture. He got it 63 to 33. Then I voted against him for judge.  The importance of that was if he had had his nomination blocked by the cloture vote, he would have been the first Federal istrict judge in the history of the court to not have been allowed to have an up-or-down vote, majority vote. So I resisted that in that instance. I resisted that for I may have been the deciding vote; there were only 60 votes.  While I said I am not looking for merit badges, where are the Democrats who are willing to vote like that--to preserve the Senate's 230-year tradition of approving Presidential nominees by a majority vote? I think this is a terrible precedent, not justified, and I am sorry to see things heading in this direction.  Now I wish to make some remarks on another matter.  (The remarks of Mr.Alexander pertaining to the introduction of 761 are printed in today's Record under ``Statements on Introduced Bills and Joint Resolutions.'')  The PRESIDING The Senator from                               Healthcare  ",CREC-2017-03-29-pt1-PgS2055-6.txt,1695,AMERICAN HEALTH CARE ACT OF 2017,2017.0,29.0,March
985,topic-id,1130,"Mr.President, the Health Care Options Act of 2017, introduced by Senator Corker and me, would address the emergency in the health insurance exchanges in Tennessee and in other This legislation would allow any American who receives a subsidy and has no insurance available on their exchange next year to use that subsidy to buy any State-approved insurance off the exchange.  Second, the legislation would waive the Affordable Care Act requirement that these Americans--who, remember, have zero insurance options for their subsidies--have to pay a penalty for not purchasing the insurance.  Third, the legislation would bring peace of mind between now and the beginning of 2018 to millions of Americans--some of the most vulnerable people in our country--who face having zero options of health insurance to purchase with their subsidy in the year 2018 because of the collapsing ObamaCare exchange markets.  Here is why urgent action is needed. There are 11 million Americans who buy individual insurance now on the Affordable Care Act exchanges. Approximately 85 percent of them receive a subsidy to help them buy insurance. For those who don't like subsidies for people buying insurance, I would remind us that about 60 percent of insured Americans get insurance on the job, and the average tax break for people with employer sponsored insurance is about $5,000. What we are talking about is the 4 percent of insured people who don't get insurance on the job, who don't get it from the government and Medicare and Medicaid, and this subsidy gives them some money to help them buy insurance if they are mostly low income.  While these 11 million make up only 4 percent of the total insured population in this country, this 4 percent is where much of today's political turmoil rests.  In the Knoxville area where I live, the one remaining insurance company on the Affordable Care Act exchange has pulled out for the year 2018. So it is a near certainty that there will be zero insurance options for 40,000 Tennesseans who live there and buy their insurance on the exchange. In other words, for approximately 34,000 Tennesseans living in Knoxville who rely on an Affordable Care Act subsidy to buy health insurance, their subsidies will be worth as much as a bus ticket in a town with no buses running.  There is a real prospect that the same thing may happen to all 230,000 Tennesseans who buy insurance on the exchange. As I said, 85 percent of them rely on a subsidy to afford insurance; they just will not have any insurance policies to buy.  The decision Friday by the House of Representatives to not vote on the health care bill changes nothing about the urgency of rescuing these 230,000 Tennesseans who buy insurance on the ObamaCare exchanges that our State insurance commissioner has told us are ``very near collapse.''  While Congress continues its work to enact long-term structural health reforms, we must take immediate action to help these 230,000 Tennesseans and millions of Americans in other States facing the same dire consequences.  This is not just a problem for Last year, 7 percent of counties in the country had just one insurer offering plans on their Affordable Care Act exchange. This year, that 7 percent has risen to 32 percent of the counties in this country having just one insurer offering plans on the Affordable Care Act exchange. There are five States this year that have only a single insurer offering ACA plans in their entire State--Alabama, Alaska, Oklahoma, South Carolina, and And in nine States, there is only one insurer offering ACA plans in a majority of the[[Page S2101]]counties in the States: Tennessee, North Carolina, West Virginia, Utah, Nevada, Arizona, Mississippi, Missouri, and  Next year, in 2018, we know the problem will be much worse. As more insurance companies announce their plans for the 2018 plan year, it is very likely that more counties across the Nation will face challenges similar to those in the Knoxville, Tennessee, area, where, again, having an ObamaCare subsidy will be as useful as having a bus ticket in a town with no buses running.  Now, there is a solution to this. As I mentioned, the legislation that Senator Corker and I are introducing will do three things: First, it will allow Americans to use their Affordable Care Act subsidy--the money they are getting now--to purchase any health insurance plan outside of the exchange, as long as the insurance is approved by the State for sale in the individual market. That means Americans on the exchanges will have options to purchase insurance where the Affordable Care Act has left them with none. This option will be given to individuals who live in the counties where the Secretary of Health and Human Services certifies that there are zero options on the ACA exchange.  Second, when the Secretary certifies that there are zero insurance options on the exchange, the legislation will waive the Affordable Care Act's requirement to buy a specific health plan or pay a fine of as much as $2,000 for a family of four. The law's individual mandate, in other words, will not apply to these individuals. And, of course, it shouldn't. They shouldn't be penalized for not buying insurance when there is no insurance to buy.  The legislation's temporary authority would be in place only through the end of the 2019 plan year.  Third, I hope that this legislation will provide some peace of mind for those Knoxville area residents and Americans in counties across the country trapped in collapsing exchanges.  This is not a permanent solution. Congress has a responsibility to continue its work to solve this problem and to give more Americans more choices of lower cost health insurance.  Long term, Americans should have the freedom to make their own choices about their family's health care needs. But in the short term, we must act on behalf of 230,000 Tennesseans, some of the most vulnerable citizens in our State, and millions of other Americans in other States who are likely to have zero choices of insurance in 2018.  Earlier this afternoon, the Tennessee insurance commissioner, Julie Mix McPeak, who has testified before the Senate and made public statements that the Tennessee Affordable Care Act exchanges were in virtual collapse--what she means by that is no one will be selling insurance in them--issued this statement in support of the bill that Senator Corker and I have introduced. She said:       This bill ``would definitely be helpful for Tennessee      consumers. We are in favor of any legislation that improves      consumer choice and provides access for It is      completely unacceptable for our consumers to have a subsidy      but no ability to purchase insurance on the exchange. We      support any option that avoids that result.''  I yield the floor.                                 ______                                       By ",CREC-2017-03-29-pt1-PgS2100.txt,1695,AMERICAN HEALTH CARE ACT OF 2017,2017.0,29.0,March
76,topic-id,319,"Mr.Speaker, ObamaCare's disastrous effects over the last several years have wreaked havoc on our small businesses, broken the backs of middle and working class families, and have had a disproportionately negative impact on rural Those are the folks who I represent in west  While the current bill before us is far from perfect--and let's be honest, there is no such thing as perfect legislation--it reverses course and takes us in the right direction. It repeals the mandates and restores freedom to individuals and markets.  It repeals about $1 trillion of taxes. It reduces deficit spending by over $100 billion, making it the largest entitlement reform since the 1960s. It rolls back regulations, gives maximum flexibility to States, and begins to defederalize health care.  For 7 years now, Republicans have promised the American people that if we were given control of the Presidency and the House and the Senate, then we would repeal and replace And now that we are given the opportunity to govern and to keep our promises and to deliver results for the American people, we can't let perfect be the enemy of good.  The debate is now closing. We have two choices. We either pass a good but imperfect bill, or we leave ObamaCare in place. That is an unacceptable alternative.  As leaders, we have a moral obligation to do something, to not stand idly by while the people suffer under a system that is failing them.  If we are going to restore the greatness of America and transfer power back to the people, we need more than policy solutions, even perfect policy solutions. We need the political will and the courage to lead.  This is a rescue mission, Mr.Speaker, and it isn't without risk; but I have faith in the President and his team. I have faith in our States and the free markets, and, above all, Mr.Speaker, I have faith in the American people.  ",CREC-2017-03-24-pt1-PgH2393.txt,2063,AMERICAN HEALTH CARE ACT OF 2017,2017.0,24.0,March
825,topic-id,391,"Mr.Speaker, I rise in strong support of the HONEST As a cosponsor of this legislation and a member of the Science, Space, and Technology Committee, I am very pleased to see this bill come to the House floor.  I represent the congressional district with the highest concentration of petrochemical, manufacturing, and refining facilities than any other district in the entire This means that thousands of my constituents have been or are currently employed by these industries. In fact, years ago, I spent some time as a worker in one of these very factories.  With this in mind, you can understand why pushing for reform, transparency, and accountability within the EPA would be very important to me because so many of my constituents' livelihoods are affected by costly and burdensome regulations from the My constituents want to make sure that the EPA's actions, particularly those based on secret science, do not cost them their jobs or their livelihood.  Time and again, the EPA has issued extensive regulations without ever showing the science to back up their claims to justify these regulations. It is like they have a little black box over there. They don't let anyone else look into it, and they just say: Trust us, we have got good science backing up our claims.  I say, if your science is so good, then don't hide it in your little black box. Show us your data.  The HONEST Act simply requires the EPA to open their little black box to public scrutiny. After we pass the HONEST Act, any regulations coming from the EPA must be based on data that is publicly available. What is so offensive about a little transparency?  Most companies and businesses would be happy to comply with the EPA when data shows that their regulations are backed up by clear evidence. But many times, if not most of the time, this is not the case. Instead the regulations are based on secret science that no one but the regulators themselves have access to.  When the Federal Government issues regulations based on secret science, this is yet another example of a Federal agency getting away with something the rest of America cannot do.[[Page H2539]]American workers are fed up with overzealous regulators pushing our jobs overseas.  The SPEAKER pro tempore (Mr.Graves of Louisiana). The time of the gentleman has expired.  ",CREC-2017-03-29-pt1-PgH2536.txt,2270,AMERICAN HEALTH CARE ACT OF 2017,2017.0,29.0,March
826,topic-id,380,"Mr.Speaker, this bill is about protecting American jobs and the American economy.  In math class, we were taught to show our work; and when we didn't, we got the problem counted wrong. This bill is about transparency, accountability, and holding the government to the same standard that everyone else is.  According to a poll by the Institute for Energy Research, 90 percent of Americans believe that scientific data used to make government decisions should be available to the public, to the rest of us. That is nearly 100 percent. Not many issues in our current political environment enjoy that level of support. But when it does, Congress should very well listen.  The HONEST Act is a commonsense legislation that I am proud to support.  I include in the Record this letter of support from the American Chemistry                                   American Chemistry Council,                                   Washington, DC, March 28, 2017.     Lamar Smith,     Chairman, Committee on Science, Space, and Technology, House          of Representatives, Washington,       Dear Chairman Smith: On behalf of the American Chemistry      Council (ACC), we want to thank you for introducing H.     1430, the ``Honest and Open New EPA Science Treatment Act of      2017'' (or the HONEST Act) to help improve the science      employed by the U.Environmental Protection Agency (EPA) in      the Agency's regulatory decision making processes.       The proposed legislation would increase the transparency      and public confidence in the EPA's scientific analyses.       Consistency and transparency are key to the regulatory      certainty our industry needs to grow and create jobs. In some      instances, EPA has fallen short of employing the highest-     quality, best-available science in their regulatory decision      making.       It is critical that the regulated community and the public      have confidence that decisions reached by EPA are grounded in      transparent and reproducible science, while ensuring the      protection of confidential business information and      competitive intelligence. By ensuring that the EPA utilizes      high quality science and shares underlying data used to reach      decisions, the HONEST Act can help foster a regulatory      environment that will allow the U.business of chemistry to      continue to develop safe, innovative products that Americans      depend on in their everyday lives.       We commend you for your leadership and commitment to      advance and improve EPA science. We look forward to working      with you and other bill sponsors to pass this important piece      of legislation.           Sincerely,                                                       Cal  ",CREC-2017-03-29-pt1-PgH2536.txt,2270,DISAPPROVING A RULE SUBMITTED BY THE DEPARTMENT OF LABOR,2017.0,29.0,March
827,topic-id,27,"Mr.Speaker, I applaud the tireless work that Chairman Lamar Smith has done to bring this legislation forward so that we can bring accountability and transparency to the  ",CREC-2017-03-29-pt1-PgH2536.txt,2270,"PROVIDING FOR CONSIDERATION OF H.R. 1430, HONEST AND OPEN NEW EPA",2017.0,29.0,March
1072,topic-id,719,"Mr.Speaker, I wish to thank the gentleman from Iowa, my good friend for yielding to me.  I rise to express my strong support for the announced policy by Attorney General Jeff Sessions that will terminate U.Department of Justice grants to sanctuary cities. These are the localities that have chosen not to cooperate with the Federal Government when its seeks to deport already-detained criminal aliens.  Under this Trump policy, your hard-earned tax dollars will no longer go to cities and counties that thumb their nose at the Federal immigration authorities and refuse to cooperate.  In President Trump's first 2 months in office, this administration has acted to secure our borders, to encourage compliance with Federal immigration law, and to deport criminal aliens. The previous administration put out the welcome mat for criminal aliens. Thanks to Trump, the welcome mat has now been removed.  A few short days ago, the national news broke on how two illegal aliens from Central America raped a 14-year-old girl in the boys bathroom of a public high school in Rockville, These two young men, Henry Sanchez-Milian, an 18-year-old from Guatemala, and Jose Montano, a 17-year-old from El Salvador, came across our southern border last year as unaccompanied minors. The Obama administration initially targeted them for deportation proceedings, but they were later released to join relatives in  When asked about the situation, Rockville school officials said that the legal status of these two individuals did not matter, as Rockville has declared itself to be a sanctuary city. I beg to differ. It does matter. If the Federal Government had done its duty and immediately returned these illegal immigrants to their home country, this young girl would not have been brutally raped.  For the sake of this young girl, we must secure our borders. This vicious crime would never have taken place had the Obama administration followed the law and secured our borders. The good news is that the new administration is working hard to secure our borders, to deport criminal aliens, and to protect the lives of American citizens.  Cracking down on sanctuary cities is an important first step. In the first month of the Trump administration, ICE issued 3,083 detainers. These are orders for local authorities to keep criminal aliens in custody for 48 hours to enable U.Immigration and Customs Enforcement, or ICE, agents to come and get these criminal aliens for deportation. 206 of these detainees were just declined, meaning that local authorities deliberately ignored ICE's detainer requests and released these individuals back out onto American streets.[[Page H2580]]  This is especially concerning because 44 percent of those individuals had already been convicted of crimes in the United These weren't just petty crimes, folks. These include: homicide, rape, assault, domestic violence, indecent exposure with a minor, sex offense against a minor, aggravated assault with a weapon, resisting an officer, vehicle theft, kidnapping, driving under the influence, hit-and-run, and sexual assault.  Thank you, Mr.President, for holding accountable these sanctuary cities that released these criminals back out onto our streets.  We are also working to force foreign countries to take back their criminal alien citizens; 25-year-old Casey Chadwick was murdered by an illegal alien from Haiti, Jean Jacques had been released 6 months earlier and ordered deported after serving a 19-year sentence for attempted murder.  Haiti had refused multiple times to take back Jacques, and under the Obama administration policy, Jacques was simply released onto U.streets to return to his life of crime, although Haiti had gladly taken billions of U.aid. That is why I have introduced H.82, the Criminal Alien Deportation Enforcement My bill withholds foreign aid from countries that do not repatriate their criminal aliens.  This commonsense step ensures that countries that benefit from the goodwill of the United States must hold up their end of the bargain and take back their criminal aliens. And through his recent executive order, President Trump declared that he would restrict the issuance of visas to certain residents of noncooperative countries. Congress should support the President by locking in this enforcement with legislation so that a future President does not reverse this enforcement.                              {time}  1115  On behalf of the American people, I applaud President Trump and I call on my colleagues to cosponsor my legislation to lock in these protections for future generations of Americans and keep them safe.  ",CREC-2017-03-30-pt1-PgH2578-6.txt,2270,"PROVIDING FOR CONSIDERATION OF H.R. 1430, HONEST AND OPEN NEW EPA",2017.0,30.0,March
