speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
8271,topic-id,247,"Mr.Speaker, today I rise to pay tribute to a friend and an American hero.  Chief Special Warfare Operator William Chad Mulder was a Navy SEAL and a highly decorated combat veteran receiving, among other honors, three Bronze Stars with He was a brother; he was a husband; he was a father; and he was a friend. William Chad Mulder, or ``Bill,'' as his friends knew him, concluded his mission here on this Earth June 9, 2017.  If anybody was ever born for battle, it was Bill He seemed to come hardwired with a soldier's spirit. All who knew him felt safer on account of his service to our country. Bill was the ultimate warrior.  Those of us who grew up with Bill in my hometown of Plainview, Texas, also knew him as the epitome of a Plainview He was tenderhearted, but he was tough. He was as caring as he was courageous, and he was as fun-loving as he was fearless.  To his wife, Sydney: Thank you for loving Bill so well.  To his children: His tender heart and his warrior spirit will live on through each of you.  We are praying for all of you, and on behalf of Plainview High School, the class of 1989, and all of us who were fortunate enough to call Bill our friend, we are proud of you, You served with distinction and honor.  Thank you for dedicating your life to keeping us safe. We will miss you, buddy.                          ____________________",CREC-2017-06-21-pt1-PgH5001-2.txt,99999999999999,NOMINATION OBJECTION,2017.0,21.0,June
8431,topic-id,516,"Mr.Speaker, as a Representative of the great State of Texas, I want to first acknowledge and preface my remarks with the fact that most people that are entering these United States illegally are doing so because they want a better life for their families. That said, it doesn't make it right. As has been said, and I have said it before, we are a nation of immigrants for sure, all of us, but we are also a nation of laws.  When the Federal Government abdicates its responsibility to secure our border and enforce our immigration laws, we not only fail in our sacred duty to uphold the Constitution and the rule of law, but we put American lives at risk. 121, that is the number of lives that have been lost from 2010 to 2014, lives that could have been saved if we had the political courage to enforce our immigration laws regarding criminal aliens.  Here is something even more outrageous. Of the over 36,000 criminal aliens released from Immigration and Customs Enforcement custody over the course of a year, 1,000 of them were reconvicted of another crime.  These avoidable, tragic deaths from violent crimes continue to happen across the country, and many of the criminal aliens who have committed them have found refuge in our Nation's sanctuary cities. These are lawless cities, let's be clear, cities whose actions undermine the basic American tenet that we are a nation of laws, not of men.  Fortunately, we have the opportunity to stop this madness and do the job the American people expect their government to do, their first job, and that is to keep Americans safe.  Passing the No Sanctuary for Criminals Act would impose significant penalties on States and cities that refuse to follow Federal immigration laws and cooperate with authorities. Additionally, it would allow the Secretary of Homeland Security to prohibit law-breaking immigrants in DHS custody from being transferred to sanctuary cities.  The No Sanctuary for Criminals Act only addresses one part of the problem in this area, a problem that we all know will require further reform; but, nonetheless, this is a good, commonsense law, and it will move our country in the right direction towards safer, stronger communities.  In addition to supporting the No Sanctuary for Criminals Act, I have cosponsored the Davis-Oliver Act, and I urge all my colleagues to do the same. In addition to holding these cities accountable for harboring criminal aliens, we need to ensure that our State and local law enforcement officials have the authority to actually do their job, and that is enforce all of our Nation's laws.  Together, I believe the No Sanctuary for Criminals Act and the Davis-Oliver Act will have a major impact on stopping illegal immigration and deterring lawlessness at the hands of criminal aliens who have repeatedly proven that they will break our laws, harm our citizens, and disrespect this great  Mr.Speaker, let's empower the President and local law enforcement agencies to do their job. Let's honor the Constitution and respect the rule of law. Mr.Speaker, let's simply put America first.                          ____________________",CREC-2017-06-27-pt1-PgH5187-2.txt,99999999999999,ENSURING VETERAN ENTERPRISE PARTICIPATION IN STRATEGIC SOURCING ACT,2017.0,27.0,May
8221,topic-id,279,"Mr.Speaker, in light of yesterday's tragedy, I think it is important to remember those who keep our communities safe, including our military, law enforcement, and first responders. In addition to those groups, I believe educators are also heroes.  Today, I want to highlight a family from my hometown of Papillion, Nebraska, the Kelletts, whose story represents what it means to be heroes and servants of our  Bill Kellett recently retired as the director of the Papillion-La Vista South High School band, and was a music educator for 33 years. His students were featured in two Presidential inaugural parades and marched in the 2000 millennium celebration in  His wife, Andrea, is also a longtime educator who taught history and directed the Titan guard and legion units.  Three of their sons currently serve as airmen, and a fourth one is also a teacher in our community.  Last December, Captain Kyle Kellett, one of their sons, was recognized with the Lieutenant General William Tunner Award as the commander of the most outstanding airlift crew in the United States Air As civil war was raging in Yemen, then-Secretary of Defense Ash Carter ordered all U.personnel out of the country, and that is when Captain Kellett and his crew put their lives on the line to protect their fellow  Their no-fail mission was flown at night, over the war-torn country, in bad weather, and with little time for planning. Captain Kellett and his crew quickly evacuated 70 Americans only hours before militants overran their location. His leadership and crew were nothing short of heroic.  This is a proud all-American family. I want to thank the Kellett family for their service to our country.                          ____________________",CREC-2017-06-15-pt1-PgH4933.txt,99999999999999,ENSURING VETERAN ENTERPRISE PARTICIPATION IN STRATEGIC SOURCING ACT,2017.0,15.0,April
8422,topic-id,378,"Mr.President, in the spirit of the ``Decade of Vision,'' I am pleased to recognize July as Dry Eye Awareness In 2009, while serving in the House of Representatives, I was proud to sponsor the successfully passed 366, which recognized the 40th anniversary of the National Eye Institute and designated 2010-2020 as the ``Decade of Vision.'' This resolution sought to bring awareness to our Nation's challenges in vision health, especially as our population ages and the incidence of chronic diseases that may cause vision impairment grows.  Dry eye is one of these growing vision health challenges that affects more than 30 million people in the United It occurs when the eye does not produce tears properly or they are not of the correct consistency and evaporate too quickly. It can range from discomfort to a painful chronic and progressive condition that leads to blurred vision or even vision loss. Dry eye is one of the most frequent causes of patient visits to eyecare providers. It is a particularly burdensome issue for our brave soldiers who were engaged in Operation Enduring Freedom and Operation Iraqi The Veterans Administration reports that upwards of 70 percent of traumatic brain injury-exposed veterans have dry eye symptoms.  Research supported by the National Institutes of Health and its National Eye Institute has improved our understanding of this condition. Dry eye can have many causes, including environmental exposure, side-effects from medications, eye surgery, eyelid disorders, immune system disorders, contact lens wear, cosmetic use, aesthetic procedures, and an increasingly common cause: staring at computer or video screens for too long without blinking, which may have a disproportionate impact on our younger generations.  I want to recognize an important educational opportunity during Dry Eye Awareness Month this year. The Tear Film & Ocular Surface Society's ``Dry Eye Workshop II Report'' will be published in ``The Ocular Surface Journal,'' updating the definition of dry eye and addressing its greater impact on vision health--the first such reexamination since 2007. Report highlights were presented at a July 12, 2017, congressional briefing, accompanied by a ``Test Your Tears'' screening and presentation of research posters.  The vision community and its coalition partners are uniting to recognize this growing vision health problem, and I stand in support of these awareness and educational efforts.                          ____________________",CREC-2017-07-17-pt1-PgS4022.txt,1558,IMPROVING FUSION CENTERS' ACCESS TO INFORMATION ACT,2017.0,17.0,July
8232,topic-id,149,"Mr.President, I would like to take the opportunity to express my appreciation to Amanda for her hard work as an intern in my Washington, DC, office. I recognize her efforts and contributions to my office, as well as to the State of  Amanda is a native of Casper, She currently attends the University of Wyoming, where she is studying business management and She has demonstrated a strong work ethic, which has made her an invaluable asset to our office. The quality of her work is reflected in her great efforts over the last several months.  I want to thank Amanda for the dedication she has shown while working for[[Page S4615]]me and my staff. It was a pleasure to have her as part of our team. I know she will have continued success with all of her future endeavors. I wish her all my best on her next journey.                          ____________________",CREC-2017-07-31-pt1-PgS4614-7.txt,1881,CONGRATULATING THE UNIVERSITY OF SOUTH CAROLINA WOMEN'S BASKETBALL TEAM,2017.0,31.0,July
8337,topic-id,147,"Mr.President, I would like to take the opportunity to express my appreciation to Connor for his hard work as an intern in the Senate Committee on Environment and Public I recognize his efforts and contributions to my office, as well as to the State of  Connor is a native of He currently attends Linfield College, where he is studying political science. He has demonstrated a strong work ethic, which has made him an invaluable asset to our office. The quality of his work is reflected in his great efforts over the last several months.  I want to thank Connor for the dedication he has shown while working for me and my staff. It is a pleasure to have him as part of our team. I know he will have continued success with all of his future endeavors. I wish him all my best on his journey.                          ____________________",CREC-2017-07-31-pt1-PgS4614-6.txt,1881,ELIMINATE NEW YORK STATE MEDICAID MANDATE,2017.0,31.0,July
8353,topic-id,162,"Mr.Speaker, I rise today with hundreds of business, labor, and advocacy organizations to recognize National Infrastructure The purpose of this week is to highlight the state of the Nation's infrastructure and its critical importance to our economy and well-being.  Building and strengthening our infrastructure is vital to all of us, but it oftentimes goes unnoticed. Our Nation's deteriorating infrastructure is hampering our ability to compete in the thriving global economy and create jobs that our Nation needs. As an example, in my home State of Ohio, we face significant challenges: 17 percent of the public roads are in poor condition, and almost 7 percent of all the bridges are structurally deficient.  Mr.Speaker, we cannot continue to turn a blind eye to our Nation's infrastructure needs. Congress must work together to upgrade our Nation's highways, bridges, airports, water systems, energy grid, broadband network, and the like so that our economy can continue to lead the world in the 21st century and beyond.                          ____________________",CREC-2017-05-17-pt1-PgH4296.txt,2153,THIN BLUE LINE ACT,2017.0,17.0,July
8229,topic-id,134,"Mr.Speaker, I am proud to join Dunn and Mr.Panetta in supporting H.2781, the Ensuring Veteran Enterprise Participation in Strategic Sourcing This bill and my bill are complementary legislation.  In addition to the vital healthcare and benefits VA provides to our veterans, it also awards billions of dollars of contracts annually to their small businesses. The impact of these contracts to support livelihoods and create jobs all over our country cannot be overstated.  Just as veteran businessowners must abide by the rules, VA must abide by the rules and make available to them the contracting opportunities they have earned. Federal procurement is a very complicated system that sometimes produces strange outcomes. We must continue to work on that procurement and make sure that it functions properly.  I strongly urge all my colleagues to support H.2781.  ",CREC-2017-07-24-pt1-PgH6176.txt,99999999999999,RUSSIA INVESTIGATION,2017.0,24.0,May
8227,topic-id,133,"Mr.Speaker, I rise today in support of H.2781, the Ensuring Veteran Enterprise Participation in Strategic Sourcing  This important legislation clarifies that veteran-owned small businesses should be given proper consideration for contracts with the Department of Veterans It will help to ensure that our contracting is efficient and fair to our Nation's veterans.  The VA has a special responsibility to maximize business opportunities for our heroes when they come home from serving abroad. Helping veteran-owned small businesses succeed is a bipartisan effort, as you have heard already here today. I am happy to see so many of my colleagues support it.  I want to thank my colleague, Dunn, for offering the commonsense fix to contracting at the VA, and I look forward to voting in favor of it. I urge Members to support H.2781.  ",CREC-2017-07-24-pt1-PgH6176.txt,2243,FEDERAL INTERN PROTECTION ACT OF 2017,2017.0,24.0,April
8435,topic-id,23,"Mr.President, I ask unanimous consent that the order for the quorum call be rescinded.  The PRESIDING Without objection, it is so ordered.                          ____________________",CREC-2017-06-05-pt1-PgS3238-2.txt,2106,FEDERAL INTERN PROTECTION ACT OF 2017,2017.0,5.0,April
