248,topic-id,790,"Mr.Speaker, I have a map beside me. It is not a Verizon or an AT&T map showing its coverage. What this is is a snapshot, a moment in time, of the number of airplanes in the United States' airspace at any moment, over 90,000 flights a day. Think about that. That is over 200,000 takeoffs and landings.  We, in the United States, have the safest and the busiest airspace in the world; yet there are some in Congress who want to privatize this to a board made up of 13 members only. I personally think it is more of a monopolization, not a privatization of our airspace.  This is the taxpayers' airspace. This is not the airspace that we should be giving away to a 13-member board, or the control of.  Those who want to pass this AIRR Act, H.2997, want us to compare it to Well, I have flown in Look at the map: below the line in the United States, above the line in It is not even apples to apples. It is not apples to oranges. It is apples to elephants.  And you say, well, that makes no sense. No, it doesn't. It does not make any sense to give control of this airspace, where our wonderful men in uniform and women who fly the military aircraft, the pilots like myself, but, more importantly, the carriers that carry all of us to here and there, the ability to control this airspace.  I am a small-government guy, Mr.Speaker, but there are three instances where government needs to be involved in the lives of our citizens: national defense, national intelligence, and national airspace.  I would argue that I have probably been in more control towers than any Member of Congress, and when you walk in, there are wonderful controllers who are looking at modern equipment, computer screens, display lights, who are moving aircraft here and there, very efficiently, very professionally.  There are those who have stood at this podium, Mr.Speaker, and held up pieces of paper like this and have scared our people into saying: Oh, this is the way controllers transfer control of airplanes from airspace to airspace.  That is a gross mischaracterization of what is happening. They use this as a backup if a grid goes down, but they don't use it to move traffic. They use modern computers.  The NextGen, or what we call the next generation of modernization of FAA, is called ADS-B, Automatic Dependent Surveillance-It allows separation of aircraft to come down. It has saved billions--that is with a B--in fuel and other costs, and yet we want to give all this modern equipment to the control of a 13-member board? I think not.  We have all had delays in airports. Most of them, I will tell you, are weather. But how many of us have pulled up in a plane and we are waiting for another plane to back out of a gate? That is not an air traffic control issue. That is an issue with controlling the gates at the airport, and that goes back to the airlines.  How many of us have been delayed because they come on and when we are just fixing to board the plane, oh, you have a maintenance issue, or we are waiting for another pilot crew to get off one aircraft to pilot your aircraft? Again, those who would want to pass this act would make you believe that that is air traffic control's fault. No, it does not have to do with air traffic control.  CBO has said that if we give this airspace control to a 13-member private board, it will cause a $100 billion deficit addition--$100 billion. The Congressional Review Service has said that if we do that, that automatically allows sequester to take place. We don't need that. We are trying to get out of that now. Our wonderful men and women in uniform are having a hard enough time meeting quotas, meeting equipment, meeting training, everything, because of the sequester.  This would hurt military retirement funding. This would hurt our Border Patrol, men and women there protecting us from terrorist activity on a daily basis.  Mr.Speaker, we need modernization, but we don't need privatization. It is a bad idea any way you look at it.  We do need to pass a long-term FAA reauthorization act. I am all for that. Our FAA needs to have the stability of funding where they can look down the road more than 6 months at a time and plan for what is coming down and what they need to do to keep our airspace safe.  So, Mr.Speaker, we don't need this H.2997 passed. We need just to fund FAA for a long time.                          ____________________",CREC-2017-11-01-pt1-PgH8303.txt,2244,EXECUTIVE CALENDAR--Continued,2017,1,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,topic-id,224,"Madam Speaker, today, I rise to honor the life of someone I was lucky to call a colleague and mentor--Redlands City Council member Pat  I was heartbroken to learn of Pat's passing in early October, but I will always be grateful for her countless contributions to our community. Her imprint can be seen throughout the city of Redlands and our region. She was the earliest advocate for Redlands' passenger rail, supported the Healthy Communities Initiative and Open Space Initiative to honor our citrus heritage.  When I was just starting out on the city council, Pat's leadership and poise helped shape the type of public servant that I aim to be. She was pragmatic, measured, and listened intently to the public.  I will always be thankful for everything that she taught me, not the least of which was how to hide the chocolate in the city council dais so we could eat it during our late night council meetings.  A loving mother and grandmother, she was always proud to beam about her family. I know that when they look at her legacy and the impact she made in the community, her family can be just as proud of her.  Pat will always be remembered in our region for her thoughtfulness, her dedication, and her problem-solving ability. I will always remember her for her friendship.                          ____________________",CREC-2017-11-02-pt1-PgH8389-4.txt,2229,TWO SYSTEMS'' POLICY BETWEEN THE,2017,2,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,topic-id,415,"Mr.President, I ask unanimous consent to have printed in the Record a copy of the article, ``More ACA Plans to Come With No Premiums in 2018,'' by Anna Wilde Mathews and Christopher Weaver that was published in the Wall Street Journal on October 27, 2017.  There being no objection, the material was ordered to be printed in the Record, as follows:            More ACA Plans To Come With No Premiums in 2018       Insurers selling Affordable Care Act plans have a      compelling new pitch: free health insurance.       When sales of plans on the law's exchanges begin 1, a      growing number of consumers around the country will be able      to get coverage for 2018 without paying any monthly premium,      according to health insurers and an analysis of newly      available federal data.       In nearly all of the 2,722 counties included in the data,      some consumers will be able to obtain free health insurance      because they qualify for larger federal premium subsidies      that cover the full cost of a plan, according to the new      analysis.       The growing availability of no-premium plans is a side      effect of a decision by President Donald Trump's      administration to end federal payments that are used to      reduce out-of-pocket costs, such as deductibles, for low-     income enrollees. The administration didn't halt--and      indirectly bolstered--the federal subsidies that help      consumers with their insurance premiums.       The new analysis doesn't project exactly how many consumers      could be eligible for the no-premium plans, a figure that      depends on variables including people's income, household      size, age, location and access to other types of health      coverage.       In the coming weeks, insurers are gearing up to promote the      no-premium option. Amid uncertainty about the future of the      2010 health law, known as Obamacare, many insurers have      pulled back from the law's marketplaces. Many of the      remaining ones are worried about losing enrollment next      year--largely among consumers who aren't eligible for      subsidies and won't be able to get premium-free plans.       Insurers hope the no-premium insurance draws in more      enrollees, particularly those they need most: people with few      health needs. Healthy consumers help bolster the stability of      the market by balancing out the health costs of sicker      enrollees.       ``We absolutely will be promoting this opportunity to get      coverage at a zero price,''[[Page S6998]]     said Wendy Curran, a spokeswoman for Blue Cross Blue Shield      of Wyoming, which is mentioning the no-premium plans in      print, radio and social-media advertising. ``We hope those      younger people will say, `Well yeah, if it's not going to      cost me anything, sure.' ''       ",CREC-2017-11-02-pt1-PgS6997-4.txt,1695,TWO SYSTEMS'' POLICY BETWEEN THE,2017,2,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,topic-id,34,I ask for the yeas and nays.  The PRESIDING Is there a sufficient second?  There appears to be a sufficient second.  The clerk will call the roll.  The assistant bill clerk called the roll.  ,CREC-2017-11-02-pt1-PgS6982-2.txt,1695,EXECUTIVE CALENDAR,2017,2,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,topic-id,2095,"Mr.President, when the 18 million Americans in the individual insurance market--those are Americans, shopkeepers, songwriters, farmers, men and women who don't get their health insurance from the government or on the job--begin enrolling on Wednesday, they will discover something very strange.  The Wall Street Journal, in a weekend story, explained exactly how strange this phenomenon will be. Some of these 18 million Americans will be able to get their insurance for free. They will pay absolutely nothing for their premium, but others will see their premiums skyrocket far beyond the increases they have seen in recent years.  Here is what the Wall Street Journal says:       In nearly all of the 2,722 counties included in the data,      some consumers will be able to obtain free health insurance      because they qualify for larger federal premium subsidies      that cover the full cost of the plan, according to the new      analysis.  The Wall Street Journal continues:       In the coming weeks, insurers are gearing up to promote the      no-premium option. . . . On the flip side, those who don't      get premium subsidies under the 2010 law may be responsible      for the full brunt of steep rate increases, though they may      be able to mitigate the impact by staying away from silver      plans.  Insurers are gearing up to shepherd Americans into plans that will cost zero because taxpayers will be paying much higher subsidies. Meanwhile, the 9 million Americans in the individual health insurance market who do not have subsidies may be responsible for what the Wall Street Journal calls the ``full brunt of steep rate increases.''  What is causing this strange phenomenon? It is happening because Congress--us--has not funded cost-sharing reduction subsidies, or CSRs, for the 2018 plan year. Cost-sharing reduction subsidies are payments in the Affordable Care Act which the government makes to insurance companies to reimburse them for deductibles and copays for many low-income According to the U.District Court for the District of Columbia, the President of the United States can no longer make these payments himself without the approval of Congress so President Trump ended those payments this month.  Insurance companies have raised premiums to make up the difference, loading most of the increase on the silver plan premiums. They did that because, under the Affordable Care Act, subsidies are based on silver plan premiums. So as premiums go up, subsidies go up. If silver plan premiums skyrocket, then the subsidies skyrocket, and then you can use your giant subsidy to go buy a bronze plan and pay nothing in premiums.  In California alone, according to the Wall Street Journal article, about half of the 1.1 million who buy health insurance with subsidies can get their insurance for free next year. To be clear, because Congress didn't provide temporary funding for the cost-sharing reductions for 2018, more than half of Californians on the ACA exchange can get free government-paid healthcare.  For the last few weeks, I have been saying that the chaos we are going to see, if we don't continue the cost-sharing payments, will be a four-lane highway to single-payer insurance. Now we see why. Premium-free private insurance for millions funded by the taxpayer--I am not sure what is conservative about that.  We don't need to worry about the insurance companies. They obviously know how to take care of themselves. As the article details, if the cost-sharing payments aren't made over 2 years, insurance companies shouldn't lose a penny. They have to pay, under law,[[Page S6867]]the copays and deductibles, but they have already secured permission to raise premiums for 2018 to cover that. Because courts have said the payments are illegal, they secured approval of rates that are 20 percent higher in 2018 just for this purpose. So the insurance companies are not hurt by stopping the cost-sharing reduction payments.  If subsidized Americans aren't hurt by stopping the payments and insurance companies aren't hurt by stopping the payments, then who is hurt by stopping the payments? Hard-working, low-income Americans making less than $11,000 a year who don't qualify for Medicaid and Americans who make more than $47,000 a year and who therefore have no government subsidy to help buy insurance. They must face these premium increases on their own.  A hard-working Tennessean in the individual market--let's take a look at her. She has already seen her premiums increase 176 percent over the last 4 years. For 2018, it is going to be up another 36 percent in Tennessee, on average. She will pay the whole bill, no government help.  Then take the American taxpayers. The Congressional Budget Office tells us that failure to continue the cost-sharing reduction payments increases premiums and therefore the subsidies to pay for those premiums by $194 billion over 10 years--$194 billion over 10 years added to the Federal debt because we don't continue the cost-sharing subsidies.  How do we avoid this? Believe it or not, we can avoid this situation by enacting a bill that will both prevent this strange phenomenon and reduce the Federal deficit by $3.8 billion. Senator Murray from Washington, the ranking Democrat on the Senate HELP Committee, and I introduced this bill. We were among 12 Republicans and 12 Democrats last week who proposed the bill and recommended it to the Senate, to the President, and to the House of Representatives after we conducted four hearings. In addition, we invited Senators not on the Senate HELP committee to join us in the development of this bill, and 37 showed up. We had about 60 of us who had some participation in the development of this proposal that Senator Murray and I recommended. We presented to the Senate our recommendation for continuing cost sharing and giving States more flexibility in approving premiums so people would have more choices and lower prices.  You may have noticed that a growing number of Republicans and conservatives are recommending that Congress act to continue for 2 years the so-called cost-sharing reduction payments as copays and deductibles for low-income The heads of the two tax-writing committees, Senator Hatch and Representative Kevin Brady, introduced legislation that would continue cost sharing in 2018 and 2019. In fact, earlier this year, almost all House Republicans voted to continue cost sharing for 2 years as part of their repeal-and-replace ObamaCare bill. Senators Bill Cassidy and Lindsey Graham have said the provision to continue cost sharing temporarily would have been a part of their Senate repeal-and-replace bill, but Senate budget reconciliation rules didn't allow it.  President Trump has recognized this. He has asked for a short-term bill to prevent this kind of chaos. He encouraged me to talk to Senator Murray about this and to use cost-sharing reduction continuation as a way to negotiate some more flexibility for States so they could approve more choices at lower prices, which is exactly what Senator Murray and I did. That is what we recommended--the 24 of us, 12 Republicans and 12 Democrats--to the full Senate last week.  Some people still worry that continuing the cost-sharing payments is the same thing as propping up ObamaCare--those are the words we hear--or bailing out insurance companies. We hear those words too. In fact, just the reverse is true.  As the article explains in the Wall Street Journal, cutting off the cost-sharing payments, in the current circumstances, would increase insurance premiums on hard-working Americans who have no government subsidies, it would increase the Federal debt by nearly $200 billion over 10 years, and it would spend billions more in taxpayer dollars funding ObamaCare subsidies. Let me say that again. As the Wall Street Journal article explains, cutting off the cost-sharing payments in the current circumstances will increase insurance premiums on hard-working Americans who receive no government subsidies--up 36 percent in Tennessee--increase the Federal debt by $200 billion over 10 years, and spend billions more in taxpayer dollars funding ObamaCare subsidies.  There are two groups of people who would be basically held harmless if Congress does not approve the cost-sharing payments; one, Americans with ObamaCare subsidies; and, two, insurance companies. On the other hand, according to the CBO report last week, continuing the cost-sharing subsidies as part of the Alexander-Murray agreement would actually save taxpayers $4 billion by reducing premiums and therefore ObamaCare premium subsidies.  During 2018, it would provide rebates to consumers State by State to those hard-working Americans with no government subsidy, and it would begin to lower premiums in 2019. It would also give all Americans the opportunity to buy a new category of policy--catastrophic--so that a medical catastrophe doesn't turn into a financial catastrophe, and it would give States more flexibility to write policies with more choices at lower prices.  Many States want to do that. They need these additional flexibilities to stabilize their markets because problems with the individual market did not start with the uncertainty over the cost-sharing payments. We need to return power over the insurance markets to States if we want to begin creating long-term solutions.  The President and many others have said they don't want to bail out insurance companies. I don't want to bail out insurance companies. Senator Murray doesn't want to bail out insurance companies. I don't think I have run into anybody in the U.Senate who wants to bail out insurance companies. Our agreement doesn't bail out insurance companies. In fact, it does just the reverse.  If President Trump is looking for his majority, he might find it in Americans who don't like higher taxes and who don't like more government funding for ObamaCare subsidies. Somewhere the idea got started that continuing cost-sharing payments bails out insurance companies, but insurance companies are big boys and girls. They know how to take care of themselves, and they have proved it once again.  Failure to continue the cost-sharing subsidies is going to hurt taxpayers, and it is going to hurt unsubsidized Americans who have no subsidy to help buy their insurance. There is nothing conservative about that.  Before I yield the floor, I ask unanimous consent to have printed in the Record an article from the Wall Street Journal Weekend Edition entitled ``More ACA Plans to Come With No Premiums in 2018.''  There being no objection, the material was ordered to be printed in the Record, as follows:             [From the Wall Street Journal, 27, 2017]            More ACA Plans To Come With No Premiums in 2018             (By Anna Wilde Mathews and Christopher Weaver)       Trump indirectly bolstered the federal subsidies that help      consumers with their insurance premiums.       More people will be eligible in 2018 for no-premium health      plans under the Affordable Care       Insurers selling Affordable Care Act plans have a      compelling new pitch: free health insurance.       When sales of plans on the law's exchanges begin 1, a      growing number of consumers around the country will be able      to get coverage for 2018 without paying any monthly premium,      according to health insurers and an analysis of newly      available federal data.       In nearly all of the 2,722 counties included in the data,      some consumers will be able to obtain free health insurance      because they qualify for larger federal premium subsidies      that cover the full cost of a plan, according to the new      analysis.       The growing availability of no-premium plans is a side      effect of a decision by President Donald Trump's      administration to end federal payments that are used to      reduce out-of-pocket costs, such as deductibles, for low-     income enrollees. The administration didn't halt--and      indirectly bolstered--the federal subsidies that help      consumers with their insurance premiums.       The new analysis doesn't project exactly how many consumers      could be eligible for the no-premium plans, a figure that      depends[[Page S6868]]     on variables including people's income, household size, age,      location and access to other types of health coverage.       In the coming weeks, insurers are gearing up to promote the      no-premium option. Amid uncertainty about the future of the      2010 health law, known as Obamacare, many insurers have      pulled back from the law's marketplaces. Many of the      remaining ones are worried about losing enrollment next      year--largely among consumers who aren't eligible for      subsidies and won't be able to get premium-free plans.       Insurers hope the no-premium insurance draws in more      enrollees, particularly those they need most: people with few      health needs. Healthy consumers help bolster the stability of      the market by balancing out the health costs of sicker      enrollees.       ``We absolutely will be promoting this opportunity to get      coverage at a zero price,'' said Wendy Curran, a spokeswoman      for Blue Cross Blue Shield of Wyoming, which is mentioning      the no-premium plans in print, radio and social-media      advertising. ``We hope those younger people will say, `Well      yeah, if it's not going to cost me anything, sure.' ''       ",CREC-2017-10-30-pt1-PgS6866-2.txt,1695,EXECUTIVE CALENDAR,2017,30,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,topic-id,150,"Mr.Speaker, I rise today to urge my colleagues to support the Protecting Seniors' Access to Medicare  How many of you know what the Independent Payment Advisory Board is--also known as the IPAB?  How many of you know who serves on the board?  I would venture to say that not many people know the 15 unelected, unaccountable bureaucrats who have unilateral authority to cut Medicare spending.  When the Democrats passed ObamaCare, they created the Independent Payment Advisory Board, providing them with unprecedented power to alter Medicare policy, ultimately, having the chance to reduce seniors' access to healthcare and put the government at the center of our healthcare system with zero accountability or transparency.                              {time}  1615  My constituents deserve better and Americans across this Nation deserve better.  A vote for this legislation is a vote to give seniors more control over their healthcare decisions. I urge my colleagues to support Roe's bill.  ",CREC-2017-11-02-pt1-PgH8413-4.txt,2239,EXECUTIVE CALENDAR,2017,2,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,topic-id,184,"Mr.Speaker, today, I rise to pay tribute to a living legend: my friend and colleague, Congressman Sam  Recently, we had the opportunity to honor him by renaming the Texas Tech University Vietnam Archive as the Sam Johnson Vietnam  Nobody in the United States Congress enjoys more esteem from his colleagues, on both sides of the aisle, than Sam  His legacy of service is awe-inspiring. Twenty-nine years in the United States Air Force, combat missions in Korea and Nearly 7 years as a POW, roughly 3 of those years in solitary confinement.  There are many forces in politics that pull us from pillar to post, and many interests that compete for our time and attention. There is one force that drives this man--it is his desire to fight for the future of this country. And there is only one interest, and that is only what is in the best interest of all  I am grateful to Texas Tech for honoring Congressman Johnson's service and sacrifice, and I am proud of the example Sam has set for all of us who serve in the people's                          ____________________",CREC-2017-11-02-pt1-PgH8394-4.txt,1E+14,RESILIENT FEDERAL FORESTS ACT OF 2017,2017,2,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,topic-id,570,"Mr.Speaker, if the United States is going to maintain the ability to feed and clothe our own people and fuel this American economy, we need a strong and sustainable rural America like the district I represent in west  What would this country be without the hardworking energy and agriculture producers in small towns across this great land? The heart of small-town sustainability is access to healthcare. There are over 5,000 hospitals in the United States, and roughly half of them are in rural America, serving one out of every five Without access to basic medical services, communities in America's breadbasket and energy basin would not survive.  Hospitals serving rural communities face unique challenges: an aging population, low patient volume, higher percentages of Medicare beneficiaries, to name a few. Each translates into a higher per-patient cost which has left 41 percent of rural hospitals operating at a loss.  On top of this problematic patient volume and patient mix, ObamaCare has heaped a backbreaking $54 billion in additional regulatory burden in unfunded mandates. Since 2010, the year ObamaCare was enacted, 80 rural hospitals have shut down, 11 of which were in my home State of If this rate continues, in less than 10 years, an unimaginable 25 percent of our Nation's rural hospitals will close. That would cripple rural communities across this country and deliver a devastating blow to our agriculture and energy economy, affecting all Americans, including our neighbors in urban and suburban  For some Texans, the nearest hospital is already 100 miles away. In an emergency, this distance can mean the difference between life and death. Point of fact: 60 percent of all trauma deaths occur in rural America, despite the fact that rural America only makes up 20 percent of the country's population.  Here is a startling fact and outright scary scenario: one-third of rural hospitals have been deemed vulnerable to closure. If all 673 of those hospitals were to close down, it could result in over 130,000 jobs lost and almost $300 billion in GDP lost. When unemployment goes down and wages go down in those small towns, folks move away in search of better opportunities.  In order to sustain the critical lifeline hospitals provide for our rural communities, I have introduced H.4178, the Healthcare Enhancement for America's Rural Towns Act, or the HEART Why? Because small towns are the heartbeat of America; the heart of our food, fuel, and fiber production; the heart of traditional American values. This legislation extends two programs vital to the sustainability of rural hospitals and the community they deserve: the Low-Volume Adjustment program and the Medicare-Dependent Hospital program. These programs account for less than one-tenth of 1 percent of all Medicare expenditures, but they go a long way to ensuring that rural community hospitals with a higher percentage of Medicare patients have adequate funding to serve the unique populations.  By extending the Medicare Low-Volume Adjustment program for 2 years, and for the first time permanently extending the Medicare-Dependent Hospital program, we can provide the assurance and continuity that our rural hospitals desperately need in order to serve our communities in the future. Just as importantly, we do this in a way that is budget neutral and without spending any additional taxpayer moneys.  Let's pass this legislation. Let's protect the heart of rural America and give our community hospitals the certainty that they need to keep our people and our communities healthy.                          ____________________",CREC-2017-11-01-pt1-PgH8304.txt,1E+14,RESILIENT FEDERAL FORESTS ACT OF 2017,2017,1,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,topic-id,1674,"Mr.President, this week the Senate is moving through a series of votes to fill vacancies in the Federal appeals court. President Trump has nominated highly qualified, mainstream judges and legal scholars to do these jobs. Now, Democrats have responded once again with delay and with obstruction. It is clear to me that we need to change the rules in the Senate that govern how we debate nominations in this body. All year Democrats have been putting up roadblocks to nominations. They have forced the majority leader to file cloture so that[[Page S6939]]then we can confirm nominees like these four judges.  As of last Friday, Democrats have forced the Senate to file cloture 47 different times when we have had to have cloture votes on President Trump's nominees. There were only six cloture votes at this point for the previous four Presidents--five for Obama, none for George Bush, one for Bill Clinton, and none under the Presidency of George Herbert Walker These are the kind of hoops that the Democrats have been making the Senate jump through in an effort to confirm President Trump's nominees.  The procedure has been set in place to allow for debate. Well, debate is a good thing in the Senate, as long as debate is actually occurring. It is a chance for Senators to stand up, to say what they like or what they don't like about a nominee. Now, if no one wants to debate, we should just move things along and have the vote. There is one Senate rule that allows for as much as 30 hours of debate time on Presidential nominations after we have actually had the cloture vote. Now, in reality, very little of that time that is spent on the Senate floor is actually being used for the debate. In the past, both sides would agree to waive the time requirements and to move on to other Senate business, which is what we need to do to get the country continuing to move forward. But what is happening now is that Democrats are insisting on cloture votes, and then they are insisting that we use hour after hour after hour, even when there is no one here to debate what is the issue or the person in front of us.  It is time to end this pointless spectacle. The Senate used to be called the world's greatest deliberative body. Democrats have turned it into the world's most paralyzed deliberative body.  We have more than 125 nominees for various jobs who have had hearings in committee, who have testified in committee, who have been voted on in committee, who have cleared through the entire committee-vetting process and are now waiting for a vote on the Senate floor--125 of them. Most of these people have bipartisan support. They will be confirmed easily and eventually. They should be confirmed immediately. There should be no reason for Democrats' stalling tactics except, once again, to slow down the pace of other progress in the Senate on legislative issues.  Mr.President, look at what happened with one judge last week. It is a case you are very familiar with. Scott Palk was nominated by President Trump to serve on the U.district court. He had bipartisan support in the Judiciary He went to the committee, had a hearing in the committee, and with bipartisan support was voted out of the committee. That was in June--more than 4 months ago.  Now, apparently that is not good enough for the Democrats--not at all. They are only interested in slowing down the work of the So we had a cloture vote on the nominee. It was 1 of the 47 cloture votes that we talked about. We had to have a cloture vote. Every Republican and 27 Democrats voted for him. So he had bipartisan support. We still had to allow all of this wasted time for the debate. We couldn't conduct any of the other business of the Senate during the time because the Democrats insisted that we use all of the debate time. Now, they could have very easily agreed to waive the rules, as we do, and go straight to a vote. We wanted to do that. The Democrats refused.  So how much of that time--those 30 hours--did the Democrats actually spend on the floor debating this person's qualifications to be a Federal judge? How many of those 30 hours did the Democrats use? How many minutes did they use? Not one Democrat came to the floor of the Senate to talk about that judge. Not a single Democrat even bothered to say a word against his nomination. There were fewer than 20 minutes of total talk on the floor of the Through hour after hour after hour of ongoing time, there were fewer than 20 minutes spent actually talking about the judge, and it was all spent in praise by the We still had to run out the clock because that is the delay game the Democrats are playing in the The Senate had to waste hours and hours when we could have finished debating in less than 20 minutes. The Democrats have done this same thing time after time after time, day after day, wasting day after day.  Things take time in the We understand that. That is what the Founding Fathers had in mind when they formed the two bodies of Congress, the House and the There is no excuse, though, for Democrats abusing the process to make things take even longer. Democrats aren't using the rules for debate. They are not using the rules for deliberation. It is only for delay. It hasn't always been this way, and there is no reason it should continue to be this way.  The Senate had a different standard for nominations a few years ago, and that was in the 113th In years 2013 and 2014, the Senate allowed just 2 hours of debate after cloture was invoked on nominations for district court judges. That is 2 hours more than the Democrats actually spent debating this judge's nomination last week. The rules said that we would have up to 8 hours to debate executive branch nominations below the Cabinet level. Then, for Cabinet Secretaries, for Justices on the Supreme Court, and for circuit courts, it was the full 30 hours of debate. Thirty hours now is what we allow every nomination today, and Democrats have shown that in most cases it is far too much time because even though we have to spend all the time, they use very little of it talking about the nominees.  We need a fair debate on every nomination. The procedure from 2013 and 2014, with fair debate on nominations, is one that was fair. The way the Democrats are wasting time today to keep us from doing our work is not fair. I believe it is time to return to the rules for debating nominees that the Senate used 3 years ago. There will still be plenty of time for Senators to debate the nominees, to raise objections if there are any. Every Senator could be on the record. There are just a lot of hours that we could avoid that are being wasted today that could be used to do the people's business of this country. A President's nominations of qualified people to important jobs was never meant to be a tool for delay in the Senate or to be an obstruction the way the Democrats have been using it.  Now, these rules that we used in 2013 and 2014 were the result of a compromise. Democrats controlled the Senate at the time. A Democrat, Barack Obama, was in the White House making the nominations, and Republicans agreed to make these changes to the rules. It was part of a bipartisan group, and I was part of that group. There were eight They worked on this compromise--four Republicans and four Senator McCain and Senator Alexander were part of this group. Senator Schumer, who is now the Democrat leader, was part of this group. There was overwhelming support for these changes on both sides of the aisle.  It is time to do it again. Let's change the Senate rules and go back to the process that Senator Schumer supported in 2013 and 2014. Today, the schedule allows us to do one or two nominations in a typical week. If we go back to the 2014 standard, we could clear multiple nominations in a day. The Republican Senate has been busy this year, and we have made progress on behalf of the American people. We have passed 15 resolutions rolling back destructive, Obama-era regulations using the Congressional Review Act and signed into law by the We passed a budget that will help give Americans at home a raise by cutting their taxes and giving us an opportunity to do the kind of tax relief, tax reform, tax reductions, tax cuts that the American people are looking for. We need to do more. It is time for Democrats to stop abusing the rules just to delay the process. It is time to go back to the previous standard of debating nominations. It is time to pick up the pace and do the job the American people expect us to do.  Now, if Democrats have a different approach and don't want to accept the standard of debate that was set in the previous Congress, then I believe it is time for us to force that change. If Democrats maintain their lockstep opposition to real progress on judicial vacancies and other nominees, we should give them a chance to vote on their continued obstruction. We can vote on these nominees in a straightforward[[Page S6940]]and efficient way or we can vote to return to the precedent of the 113th That is the choice. Either way, it is time to vote.  Thank you.  I yield the floor.  I suggest the absence of a quorum.  The PRESIDING The clerk will call the roll.  The senior assistant legislative clerk proceeded to call the roll.  ",CREC-2017-11-01-pt1-PgS6938-3.txt,1881,RESILIENT FEDERAL FORESTS ACT OF 2017,2017,1,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,topic-id,46,"Mr.President, I ask unanimous consent that the order for the quorum call be rescinded.  The PRESIDING OFFICER (Mr.Moran). Without objection, it is so ordered.  Under the previous order, all postcloture time is expired.  The question is, Will the Senate advise and consent to the McFadden nomination?  ",CREC-2017-10-30-pt1-PgS6863-4.txt,1881,RESILIENT FEDERAL FORESTS ACT OF 2017,2017,30,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
