title,date,text,name
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    The Foreign Relations Committee will come to _x000D_
order._x000D_
    I want to welcome our witness. I understand there may be _x000D_
circumstances where you may need to depart. We are just glad _x000D_
you are here. If you need to leave in 2 minutes, leave. I _x000D_
understand that there may be something occurring that will _x000D_
cause that. So please, just whatever makes you comfortable._x000D_
    I am glad to be here with our outstanding ranking member, _x000D_
who I have enjoyed working with so much. And I am glad we are _x000D_
having this hearing today on something that is so important to _x000D_
people around the world._x000D_
    I do not normally read opening statements. I think I may do _x000D_
it. We have been sort of focused on another issue for a while, _x000D_
but I think people know that since 1954, U.S. international _x000D_
food aid programs have helped to feed over 3 billion people and _x000D_
promote food security in over 150 countries. Most U.S. food aid _x000D_
is provided through Food for Peace, which is currently funded, _x000D_
on average, at $1.6 billion annually. Over the past 5 years, _x000D_
U.S. food aid has helped 56 million people, on average, per _x000D_
year._x000D_
    Today's hearing will provide the committee with an update _x000D_
on the current operations of the program, including the _x000D_
challenges it faces while responding to increasingly dangerous _x000D_
emergencies._x000D_
    This increasingly challenging global environment has _x000D_
illustrated to Congress the need for greater flexibility in how _x000D_
Food for Peace operates. The law requires that 100 percent of _x000D_
the food aid to be delivered be U.S.-purchased commodities, and _x000D_
50 percent of that is to be shipped on U.S.-flagged vessels._x000D_
    While recent reforms in the farm bill provide some _x000D_
administrative funds to be used for such things as locally and _x000D_
regionally purchased food aid and/or food vouchers, this _x000D_
limited flexibility must be executed in tandem with U.S.-_x000D_
purchased commodities. The cargo and commodity preferences _x000D_
create inefficiencies that undermine our ability to get maximum _x000D_
impact in addressing poverty and suffering from our U.S. food _x000D_
aid dollars._x000D_
    In some cases, where U.S. national security interests are _x000D_
at stake, like in Syria and other regions in conflict, U.S. _x000D_
food aid plays an important role in U.S. policy and engagement. _x000D_
These interventions would not be possible if we relied on U.S.-_x000D_
purchased commodities._x000D_
    Increasing flexibility in the Food for Peace program would _x000D_
provide up to $444 million in savings, allowing the United _x000D_
States _x000D_
to reach as many as 12 million more starving people, up to 2\1/_x000D_
2\ months faster in some cases._x000D_
    Again, I think this just jumps out at us, that self-imposed _x000D_
limitations--I am tired, I have not had a lot of sleep. I will _x000D_
just say that the special interests that capture this program _x000D_
cause people around the world to starve._x000D_
    While the impact of reforming U.S. food aid overseas is _x000D_
profound, the domestic implications are minor, as food aid only _x000D_
contributes 1.41 percent to net farm income and 0.86 percent to _x000D_
agriculture exports._x000D_
    I have joined forces with my friend and colleague, Senator _x000D_
Coons, by authorizing with him the Food for Peace Reform Act. _x000D_
We are seeking to increase the flexibility of our food aid _x000D_
programs and are looking to our witnesses today to illustrate _x000D_
why reform to the program matters._x000D_
    For many around the globe we are not yet reaching but _x000D_
could, it is a matter of life and death._x000D_
    Again, we thank you for being here. I look forward to _x000D_
turning to Senator Cardin and maybe Senator Coons, who has been _x000D_
such a champion._x000D_
    But I hope that out of this hearing, something is going to _x000D_
occur where we will do the things necessary to make sure that _x000D_
our U.S. dollars help those people that today, as we sit here _x000D_
in this comfort, are starving because of special interests here _x000D_
in our own Nation._x000D_
    With that, Senator Cardin.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Without objection._x000D_
_x000D_
the ``Additional Material Submitted for the Record'' section at ",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    I am glad that these entities that have so _x000D_
much to do with this program will have a chance. I know we _x000D_
tried to accommodate additional witnesses. But anyway, I am _x000D_
glad you made that statement._x000D_
    I wonder if Senator Coons would like to make an opening _x000D_
comment.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you. And I think people should know, _x000D_
for the record, one of the reasons that we are having this _x000D_
hearing today is a commitment that was made to Senator Coons, _x000D_
as we closed out last year, that we would deal with this issue. _x000D_
So I thank him for his leadership._x000D_
    Our first witness is director Dina Esposito, as long as she _x000D_
is here, from the USAID Office of Food for Peace. Director _x000D_
Esposito manages the Food for Peace program, which responds to _x000D_
acute food insecurity by providing in-kind food aid locally and _x000D_
regionally procured food aid, food vouchers, and cash transfers _x000D_
to millions of people affected by conflict and natural _x000D_
disasters annually._x000D_
    In addition, it also supports interventions in critical _x000D_
areas such as nutrition, health, agriculture, and livelihood to _x000D_
address the underlying causes of poverty and hunger among the _x000D_
poorest of the poor with development food aid._x000D_
    Thank you for being here and sharing your thoughts. Please _x000D_
take however long you wish to share those thoughts. Then we _x000D_
will have questions. Thank you very much.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you. Thank you very much for what you _x000D_
and your staff do on behalf of our country. It is deeply _x000D_
appreciated._x000D_
    Just to begin, what would be the implications for U.S. _x000D_
national security if you did not have the flexibility that you _x000D_
now have in Syria and in the region in delivering aid, and you _x000D_
had to rely solely on U.S. commodities?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So, critics of us not purchasing food created _x000D_
in the United States say that it increases the chance of using _x000D_
unsafe food._x000D_
    In the places where we have been able to use local and _x000D_
regional food, has this been a problem?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So if I hear you correctly, that allegation _x000D_
is a hoax.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Okay._x000D_
    Critics of reform also claim that cash-based programs _x000D_
transfer cash from the United States to corrupt governments, _x000D_
but we know that the aid is being provided directly to _x000D_
beneficiaries. So can you discuss this issue for us?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So generally speaking, that criticism is a _x000D_
hoax. [Laughter.]",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    I am sure there are examples, minor examples. _x000D_
But generally speaking, that is not the case.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So we are the only major developed country in _x000D_
the world that still provides the bulk of our food aid through _x000D_
domestic commodities.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    I think that kind of speaks for itself._x000D_
    I just would like to know, does this make it more difficult _x000D_
for us to coordinate with other multilateral agencies and other _x000D_
donors in really hard-hit areas like Haiti, for example, in _x000D_
dealing with making sure that people have food when they need _x000D_
it?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So the other developed countries like us that _x000D_
care deeply about making sure that people have food, they have _x000D_
more flexibility. We are sort of locked in.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    So as the perceived most innovative free _x000D_
nation in the world, we are really behind the rest of the world _x000D_
when it comes to feeding the poor. Is that correct?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Listen, thank you for being here, and I look _x000D_
forward to the questions from our distinguished ranking member.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you, Senator._x000D_
    Senator Gardner.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you._x000D_
    I know you were not feeling particularly well when you came _x000D_
in. I hope the response you got today makes you feel a little _x000D_
bit better. We, certainly, thank you for being here._x000D_
    I do want to make a comment, which may generate the need _x000D_
for a response from others, but it is not USAID's job to ensure _x000D_
that our military policy and sealift capacity is met, is it?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    That is sort of a DOD problem, is it not?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    I would just say, look, I realize we have _x000D_
some sensibilities that will have to be dealt with. I would _x000D_
hope that the reason Americans, whether they are in the _x000D_
agriculture business or the maritime business or whatever, or _x000D_
the NGO business, especially the NGO business, would support us _x000D_
making changes because other people will not starve._x000D_
    I would hope that people would support this because it is _x000D_
an important American value. And I hope that as we move through _x000D_
this, in spite of the fact that, let us face it, people make a _x000D_
living off U.S. programs, in some cases to the adversity of _x000D_
people who are starving, I would hope we would figure out a way _x000D_
to first prioritize the great work that you are doing and this _x000D_
American value that exists for this program. So thank you._x000D_
    I think there may be a response.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    And, as you mentioned, coming in, I am sure, _x000D_
that based on what has happened over the last week, we, _x000D_
certainly, should be able to deal with this._x000D_
    I would say that one of the things that would hit a chord, _x000D_
I think with every American, is using even the same dollars _x000D_
that we are spending--the same dollars that we are spending--to _x000D_
reach millions more to make sure they are not starving. And _x000D_
with the passage of this legislation, we, certainly, could make _x000D_
that happen.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Very good. Thank you._x000D_
    Thank you. Goodbye. [Laughter.]_x000D_
    Okay, we will now turn to our witnesses on the second _x000D_
panel. Our first witness is Mr. David Ray, vice president for _x000D_
policy and advocacy at CARE USA. Mr. Ray has over 20 years of _x000D_
experience working at CARE USA. Founded in 1945, it is one of _x000D_
the largest and oldest humanitarian aid organizations focused _x000D_
on fighting global poverty._x000D_
    CARE USA is an important implementing partner of the Food _x000D_
for Peace program and was an early adopter of some of the food _x000D_
aid programs we are discussing today._x000D_
    I thank you for allowing my daughter to intern with you in _x000D_
Tanzania years ago. It had a huge impact on her life. I thank _x000D_
you._x000D_
    Our second witness is Dr. Vincent Smith, professor of _x000D_
economics at the Montana State University and visiting scholar _x000D_
at the American Enterprise Institute. Dr. Smith's research _x000D_
includes an examination of agricultural science policy, _x000D_
domestic and world commodity markets, risk management, and _x000D_
agricultural trade policy. He has authored nine books and _x000D_
monographs, and published over 100 articles on agriculture and _x000D_
other policy and economic issues._x000D_
    Our third witness is Dr. Stephanie Mercier, a senior policy _x000D_
adviser at the Farm Journal Foundation. Prior to that, Dr. _x000D_
Mercier--am I pronouncing it correctly?--was a chief economist _x000D_
at the Senate Agriculture Committee from 1997 to 2011. Thank _x000D_
you for your service here. She was involved in several reform _x000D_
efforts made to the Food for Peace program._x000D_
    With that, I will recognize Dr. Ray._x000D_
    Thank you all for being here. We look forward to your _x000D_
testimony and your assistance in helping us navigate these _x000D_
issues. Thank you.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you very much._x000D_
    Dr. Smith.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you, Doctor._x000D_
    Dr. Mercier.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Thank you all for your testimony. I think you _x000D_
have all been most helpful. There are not many Americans, I _x000D_
realize, who watch these kinds of panels, but this panel is _x000D_
selected jointly by Republicans and Democrats, and it is _x000D_
amazing to me that the message is exactly the same by the _x000D_
panelists._x000D_
    I want to ask a few questions and then make a statement, _x000D_
and then turn to our ranking member._x000D_
    Dr. Smith, it is my understanding, if I heard you _x000D_
correctly, that 70 percent to 75 percent of the ships moving _x000D_
food aid are not militarily useful. Is that correct?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    It is my understanding that that number _x000D_
actually could be as much as 40 percent foreign-owned. Is that _x000D_
correct?",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Yes. So to go down the same path we did with _x000D_
our former witness, first of all, food aid certainly is not _x000D_
designed for national security. But the fact that this actually _x000D_
has significant effect on our national security again is a _x000D_
total hoax. Is that correct? Let me say, mostly a hoax, okay? ",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    I have not seen House of Cards, but I _x000D_
understand they say those kinds of things.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Well, based on the amount of money we are _x000D_
blowing, I think you said we are spending more on shipping than _x000D_
on food.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    These 450 folks could be sent to Tahiti and _x000D_
supported for the rest of their lives better than any of us, _x000D_
and we would still be saving huge amounts of money. So I think _x000D_
we can figure out a way to deal with that.",corker
AMERICAN FOOD AID: WHY REFORM MATTERS,4/15/2015,"    Very good._x000D_
    This is for everybody. In recent years, some countries in _x000D_
Africa have received U.S. food aid in the form of U.S. _x000D_
commodities for several years in a row. Do you think this has _x000D_
hampered some recipients' ability to recover from the shock of _x000D_
the initial disaster that they faced? This is for all of you, _x000D_
briefly.",corker
