Unnamed: 0,speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id,speech_id,topic_id,word_count,speech_text,file_name,mods_file,session_title,year,day,month
13741,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13741,topic-id,12,"Madam Clerk,how am I recorded?  The PRESIDING The Senator is not recorded.  ",CREC-2017-01-11-pt1-PgS260.txt,CREC-2017-01-11-pt1-PgS260.xml,83,2017,11,January
13745,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13745,topic-id,23,I yield my hour of postcloture debate time under rule XXII to Senator  The PRESIDING The Senator has that right.  The Senator from  ,CREC-2017-01-31-pt1-PgS504.txt,CREC-2017-01-31-pt1-PgS504.xml,EXECUTIVE CALENDAR--Continued,2017,31,January
13746,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13746,topic-id,39,"Mr.President, I was unavoidably absent during today's vote, Executive Calendar 55, due to my son's college graduation. Had I been present, I would have voted nay on the confirmation of Governor Terry Branstad to be the U.Ambassador to                          ____________________",CREC-2017-05-22-pt1-PgS3061.txt,CREC-2017-05-22-pt1-PgS3061.xml,VOTE EXPLANATION,2017,22,May
13747,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13747,topic-id,25,"Mr.President, I ask unanimous consent to enter into a colloquy with my colleague, the senior Senator from  The PRESIDING Without objection, it is so ordered.  ",CREC-2017-12-14-pt1-PgS8044.txt,CREC-2017-12-14-pt1-PgS8044.xml,REMEMBERING EDWIN M. LEE,2017,14,December
13750,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13750,topic-id,124,"Mr.President, Californians and San Franciscans have lost a tireless champion for diversity, equity, and inclusion. Mayor Edwin Lee was the son of Chinese immigrants and the city's first Asian-American mayor. Mayor Lee grew up in public housing and moved from Seattle to the Bay Area to attend law school at UC Berkeley in the mid-1970s. As a former civil rights attorney, Mayor Lee began his career in public service fighting for fair housing and went on to serve in five different city departments under four mayors before becoming mayor himself. As mayor of one of America's largest cities, Mayor Lee worked hard to transform San Francisco into a hub for innovation and technology while still upholding the city's longstanding values of equity and justice.  ",CREC-2017-12-14-pt1-PgS8044.txt,CREC-2017-12-14-pt1-PgS8044.xml,REMEMBERING EDWIN M. LEE,2017,14,December
13757,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13757,topic-id,1078,"Mr.President, on behalf of myself and Senator Gillibrand, we rise to request that, for the 4th year in a row, the U.Government officially recognize the last week in March as the Week on the Status of Black During the week of March 26, 2018, as part of Women's History Month and in honor of the UN International Decade for People of African Descent, several leading social justice organizations will be holding events across the country to honor Black women's momentous contributions to our country and to shed light on the struggles Black women continue to face in American society.  Black women have long gone above and beyond the call of duty in their contributions to American civic society, particularly when it comes to voter turnout and political participation. They have routinely stepped up as leaders and bulwarks in their communities, sacrificing their own health and time for the betterment of others. Even in the face of grave oppression dating back to our Nation's origins, Black women have continued to stand strong and contribute to the well-being of families, communities, the economy, and our country as a whole. A recognition of the Week on the Status of Black Women would send a critical message that the government wishes to elevate Black women's role in history and contemporary society and recognizes the unique struggles they continue to experience today.[[Page S1942]]  Black women have played a critical role in this Nation's history and evolution, often with little thanks or recognition. Harriet Tubman escaped slavery and bravely returned to the enslaved South over a dozen times to herald her people to freedom on the Underground She served in the Union army as a spy, a medic, and the first woman ever to lead an armed expedition; yet despite this immense service to our country, we are still debating her recognition on our currency. A century later, Rosa Parks resisted the continued oppression and marginalization of her people. Before she was the face and organizational leader of the Montgomery Bus Boycott, she led campaigns against the sexual harassment and assault of Black women. The Week on the Status of Black Women offers us a chance to honor and uplift the sacrifices of Black women such as Harriet Tubman and Rosa Parks, who gave us so much and received so little in return.  It gives us an opportunity to add new names to celebrate to this list, for contributions that build the future as much as they ground the past. This week of recognition honors so many of whom we are proud, an infinite list at which we can only hint. It includes those hidden figures who did the math to get us to the stars--Katherine Johnson, Dorothy Vaughan, Mary Jackson, and Christine Darden--and the interstellar figures who have actually been there, like Mae Jemmison, the first African-American woman astronaut to travel in space; those consciousness raisers who provoked thought and progress in a country that needed to catch up with them, like Pauli Murray, who graduated first in her class from Howard Law and offered up the visionary arguments that won Brown v. Board of Education, and Chimamanda Ngozi Adichie, who has issued an international invitation to embrace feminism; those courageous testifiers who spoke out with such foresight, from Anita Hill's willingness to speak her own truth to power, to Tarana Burke, whose compassionate decision to say ``Me Too'' inspired and named a movement that is changing the world; those athletes and artists who inspire us with their unprecedented feats and the lyricism of their movement, from American Ballet Theater's principal dancer Misty Copeland to America's swiftest young icon on ice, Maame Biney; and those who hold and disseminate knowledge, expanding our horizons and our minds, like Monica Drake, who last year became the first African-American woman on the New York Times' print masthead, and Carla Hayden, a visionary librarian who is the first woman and first African American to lead the Library of Congress, the largest library in the world.  We celebrate that this momentous week gives us an opportunity to both enrich the historical record, and to enliven our future possibilities. We know that raising the stories of Black women in every walk of life teaches little girls to see themselves in all their full and powerful potential.  As we anticipate the future, we must also stand to recognize that, while Black women have dedicated themselves to bettering our country, they continue to face countless barriers to full inclusion and equality in American society. Black women are disproportionately subject to compromising health conditions, such as poor-quality environments in impoverished neighborhoods, food deserts, and a lack of access to basic healthcare--conditions that make them more susceptible to life-threatening diseases such as HIV and heart disease and which often make highly treatable illnesses, like breast cancer, lethal. Single Black women's median wealth is just $100, while single White women have a median wealth of $41,000; and White households have a median wealth of 13 times more than Black households. Even more alarming, around half of single Black women have zero or negative wealth, meaning their debt equals or exceeds their assets. On average, Black women workers are paid only 67 cents on the dollar relative to White non-Hispanic men, even after controlling for education, years of experience, and location.  Further, while Black women, especially trans Black women, are exceptionally vulnerable to violence, both at the hands of the state and at the hands of intimate partners, often they are not listened to or believed when they speak out. On all these fronts, we can and must do better, and we will.  In conjunction with the congressional declaration, a coalition of organizations advocating for the well-being of women and communities of color will partner to elevate the stories, histories, and realities of Black women's lives through a series of events entitled ``Her Dream Deferred''. These events will address a number of issues facing Black women today, including maternal mortality, sexual assault and harassment, political participation, and police violence through artistic expression and academic fora.  Exploring these issues and acknowledging the centrality of Black women to our history and social fabric, along with recognizing the uniquely gendered and racialized inequities they face, is critical as we seek to extend equal rights to all We hope and request that this year will be a continuation of years past in celebration and recognition of Black women through the Week on the Status of Black  Thank you.                          ____________________",CREC-2018-03-22-pt1-PgS1941-3.txt,CREC-2018-03-22-pt1-PgS1941-3.xml,WEEK ON THE STATUS OF BLACK WOMEN,2018,22,March
13761,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13761,topic-id,2112,"Mr.President, I would like to thank the senior Senator from Senator Durbin has been a longstanding leader in this Chamber and in our country on this issue, and I can't thank him enough for all he does so tirelessly. I see his work behind closed doors, and I know his passion and personal commitment to this issue. I thank the Senator from  Mr.President, on February 16 of this year, which was 292 days ago, I offered my maiden speech as a new Member of the U.The subject of the speech was immigration--in particular, an emphasis on DACA and the Here we are 292 days later, and we have failed to move forward in any substantial or substantive way in bringing relief to these Dreamers who have qualified for DACA status. So we stand here, these 292 days later, talking about an issue that we must ultimately, and before the end of this year, resolve.  Let's also be clear that 3 months ago today, on September 5 of this year, the administration arbitrarily, recklessly, and cruelly ended DACA--the Deferred Action for Childhood Arrivals DACA allowed young immigrants who were brought here by their parents to live and work in this country without fear that they would be deported. Later this week, on Friday, December 8, funding for the government runs out. I have been clear, along with my friend from Illinois and several other colleagues, that any bill that funds the government must also include a fix for  I want to talk with you about why I believe it is important that we resolve this issue. I do believe there is a lot of misinformation out there. I think it is important that we as policymakers, as leaders in our country, craft and create public policy based on facts, not on misinformation and certainly not fear.  Let's begin by being very clear. The decision to rescind DACA is part of a much broader and troubling attempt to remake the demographics of the country by cracking down on immigrants. We have an administration that has ignited anti-immigrant sentiment, characterizing immigrants as rapists and murderers and people who are going to steal your jobs. We have an administration that has implemented an aggressive anti-immigrant agenda. This administration has called for a border wall that could cost up to $70 billion. They have implemented Muslim bans which severely restrict immigration from six Muslim-majority countries. They have requested 10,000 new ICE agents and 5,000 new Border Patrol agents when they have not given the resources to be able to fill all the vacant positions they now have. They have ended the protected immigration status, known as TPS, for Haitians and Nicaraguans who fled disasters and may crack down on the protective status on Salvadorans as well. They are seeking to lower the refugee cap from 110,000 to 45,000 at a time when we have seen an increase in the worldwide number of refugees who are in crisis. This is the lowest number ever in the history of this country--actually, since 1980. John Kelly, the President's Chief of Staff and former Homeland Security Secretary, said that he wishes the number of refugees we would admit into our country were between zero and one.  I want to be clear. I have an incredible amount of respect for the men and women of the Department of Homeland Security, who each day leave their homes, committed to doing the work of keeping our homeland secure. It is noble and important work, and their mission is critical. I believe the vast majority of those frontline agents are doing their jobs honorably and effectively, but it is troubling when the White House has encouraged frontline agents to ``take the shackles off.'' In fact, the Acting ICE Director has said:       If you're an immigrant in this country illegally . . . you      should be uncomfortable. You should look over your shoulder.  When you look at these independent acts, there is a clear constellation that has formed. This enforcement surge is a barely disguised purge. This is not leadership. Leaders should not be in the business of inciting fear and sowing hate and division. Instead, leaders should be about creating smart public policy based on facts. So here are some of the facts.  It is a fact that there are 700,000 DACA recipients, 200,000 of whom are in California alone.  It is a fact that the Dreamers have been extensively vetted before they have qualified for They have gone through a process. They have turned over copious amounts of paperwork with incredible detail. They have gone through background checks. They have given personal information about the circumstances of their arrivals. They have answered questions that seek to figure out whether they have committed crimes. If they applied and they received DACA status, we determined that they were not threats in that regard to our public safety. We asked questions that sought to figure out if they have graduated high school. Are they living lawful and productive lives? It is only when they cleared that extensive vetting that they qualified for DACA status and received DACA status.  Let's be clear. These Dreamers who receive DACA status study in our colleges, serve in our military, and work in Fortune 100 companies. They are contributing to our economy in a way that we all are benefiting. If DACA recipients were to be deported, it is estimated that California would lose $11 billion a year. The U.economy as a whole would lose an estimated $460 billion over a decade.  It is also a fact that these young people have stood in classrooms and stood in line in many places and have placed their hands over their hearts, pledging allegiance to the flag of the United States--a flag that many of us wear on our lapels, a flag that represents the best of what we are in terms of the ideals upon which we were founded. We must be true to those ideals and consistent in the way that we approach so many issues as applied to this issue about what we do with these DACA kids. We must keep our word and our promise to them and guarantee what we promised, which is that we would not share their personal information with ICE and that they would not be deported if they continued to follow the rules.  In my experience, it is also true that many who have opinions or who have expressed opinions or who have the opportunity to make decisions about this issue have never met a We cannot fault them, but what we can ask is that those who have the power to make a decision on this issue make it their business and make an effort to really understand who we are talking about. Senator Durbin talked about it, and Senator Carper talked about it. My colleagues will be talking about who these Dreamers are, who these young people are.  I have to say that I have been a bit troubled when I have had this conversation. I remember when I had a conversation many months ago with the then-nominee to head up the Department of Homeland Security, John I asked him if he had ever[[Page S7855]]met a Dreamer, and he said that he had not. When I asked him if I could arrange a meeting, he then went on to say: How about if I could take a meeting, instead, with their representatives? That is disheartening.  Before our colleagues make a decision about where they stand on this policy, I believe that it is only fair--it is only the right thing to do--that they make an effort to sit down and talk with Dreamers and get to understand who they are, the circumstances of their arrivals, and how they are contributing to our country.  There are going to be hundreds of Dreamers here tomorrow on Capitol I want to thank them for their leadership and their tireless advocacy because their stories will change hearts and minds. Let me just speak of a few. My colleagues have shared some; I will share some others.  I met Yuriana Aguilar, whom I took to the President's joint session address this Her parents brought her here from Mexico when she was just 5 years old. She grew up in Fresno, She attended public schools, and she attended UC She was the first DACA recipient to earn a Ph.and now is a biomedical researcher in Chicago who is focused on the human heart. She is doing everything that she can to improve the condition and the lives of the people in our country because of the work she has done and the research she has done.  I met Eric Yang, who came from South He grew up in Irvine, CA, and is now studying business economics at UC Irvine, where he works to help other students.  My husband and I recently attended a play in Los It is a great program at which there is free entertainment in the community park, and families show up and have a wonderful evening outdoors with each other in fellowship. I met a young woman who came up to me. She was with a group of friends.  Her friends said: Tell her. Tell her.  I looked at this young woman. She looked as if she was about maybe 19 years old.  I said: Tell me what? Tell me what is going on.  She looked at me, and she spoke so quietly that I didn't hear what she had said, so I asked her to repeat herself. She looked at me, and she started crying.  She said: I am  She was trembling as she cried, absolutely in fear of what her future may hold.  I suggest that before we take a position on this issue, we take a moment, each one of us as colleagues and each one of us as individuals, to see these young people, to truly see them--to see them not through a lens that is about partisanship or politics, not through a lens that is ideological, but based on who they really are and the practical realities of the lives they lived that brought them to this country, the circumstances that brought them to this country, and the lives they are living every day now.  These are incredible young people who are doing everything that we hope and pray will epitomize the American dream--work hard, be respectful, play by the rules, contribute to your community, have dreams and aspirations about how you can be productive. That is who these young people are.  Let's reject the fearmongering. Let's also understand that this is an imminent issue and that this is something we must address immediately. Let's agree that each day in the lives of these young people is a very long time. Each day that they go to sleep at night and are worried about a knock on the door at midnight that might tear them away from their families is a very long time. Let's not wait. Let's not wait to help them.  Let's reject those folks who say that there is no crisis, the folks who say that this is not an emergency. Let's understand that for these 700,000 Dreamers who cannot concentrate at school or at work and who are terrified of that midnight knock, this is an emergency. Let's think about the classmates and the coworkers and our neighbors and family members who have these children who are terrified that this protected status will be stripped and taken away. For them, this is an emergency.  Let's think about the 122 Dreamers who are losing their DACA status every single day, 851 of them every week, over 11,000 of them since Let's agree that this is a crisis, that this is an emergency. It has been 91 days since this administration ended DACA, and we cannot wait a single day longer.  Let's reject the fearmongering. Let's find a bipartisan consensus to act in the way that we know we should and can. Let's put the Dream Act to a vote today. I believe it could pass and would pass if everyone looked in their hearts and looked at the facts.  Today, 35 House Republicans signed a letter, writing that they want a DACA fix before the end of the year. It included Members from California and Texas and Florida and Utah and Pennsylvania and New Earlier today, my colleague, the junior Senator from Arizona, said:       We don't need to make a statement. We need to make a law.  I could not agree more. Let's give these Dreamers a future.  I yield the floor.  The PRESIDING The Senator from  ",CREC-2017-12-05-pt1-PgS7851.txt,CREC-2017-12-05-pt1-PgS7851.xml,DACA,2017,5,December
13763,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13763,topic-id,25,On behalfof the 5 million Californians--  The PRESIDING Debate is not allowed during a vote.  The Senate will be in order.  The Senator may vote.  ,CREC-2017-01-11-pt1-PgS260.txt,CREC-2017-01-11-pt1-PgS260.xml,83,2017,11,January
13765,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13765,topic-id,39,"For 65 remarkable years, Mayor Lee demonstrated to all those he worked with, knew, and came to serve that through humble and steadfast leadership each one of us can create a more inclusive and just community for future generations.  ",CREC-2017-12-14-pt1-PgS8044.txt,CREC-2017-12-14-pt1-PgS8044.xml,REMEMBERING EDWIN M. LEE,2017,14,December
13767,2301,Kamala,HARRIS,REPRESENTATIVE,D,CA,1.0,H001075,115,13767,topic-id,954,"Mr.President, I thank the Senator from Illinois for her important remarks just now and for her leadership and her friendship to so many of us. She has been an extraordinary hero of mine, personally, and so many of us look to her leadership. So I thank her--and for her speaking on the nomination of Judge  Across the street from this Chamber stands the U.Supreme Above its doors are the words ``Equal Justice Under Law.'' As Senators, we have a solemn responsibility to ensure that every man and woman who sits on that Court upholds that ideal. As a U.Senator, I take that responsibility extremely seriously.  Almost two decades after the Supreme Court's landmark ruling in Brown v. Board of Education, I was part of only the second class to integrate the Berkeley, CA, public schools. If the Court had ruled differently, I likely would not have become a lawyer or a prosecutor or a district attorney or the Attorney General of California, and I certainly would not be standing here today as a U. I know from personal experience just how profoundly the Court's decisions touch every aspect of Americans' lives, and for that reason, I rise to join my colleagues in strong opposition to the nomination of Judge Neil Gorsuch to the U.Supreme  As we know, Judge Gorsuch went through 4 days of hearings in front of the Senate Judiciary Committee, and here is what we learned: We learned that Judge Gorsuch refused to answer the most basic of questions. He initially even refused to share his views on Brown v. Board of We learned that Judge Gorsuch has a deeply conservative worldview. And we learned that Judge Gorsuch interprets the law in a theoretical bubble, completely detached from the real world--as he puts it, ``focusing backward, not forward.'' If Judge Gorsuch joins the U.Supreme Court, his narrow approach would do real harm to real people, especially the women of  America deserves a Supreme Court Justice who will protect a woman's right to make her own decisions about her own health. Judge Gorsuch will not. Judge Gorsuch carefully avoided speaking about abortion, but he has clearly demonstrated a hostility to women's access to healthcare.  Last year, when the court he sits on sided with Planned Parenthood, Judge Gorsuch took the highly unusual step of asking the court to hear the case again.  Judge Gorsuch determined that a 13,000-person, for-profit corporation was entitled to exercise the same religious beliefs as a person. That meant the company did not have to provide employees birth control coverage and could impose the company's religious beliefs on all of its female employees. I ask my colleagues, why does Judge Gorsuch seem to believe that corporations deserve full rights and protections but women don't?  As we mark Equal Pay Day today, Americans deserve a Supreme Court Justice who will protect the rights of women in the workplace. Judge Gorsuch won't. In employment discrimination cases, Judge Gorsuch has consistently sided with companies against their employees. These employees include women like Betty The facts of the case were undisputed. Her boss repeatedly asked her about her sexual habits and breast size and invited her to his home--then fired her when she reported his sexual harassment. Judge Gorsuch ruled against Why? Well, part of his justification that he offered was that she waited 2 months before reporting the harassment.  Americans deserve a Supreme Court Justice who upholds the rights of all women, including transgender women. Judge Gorsuch won't. When a transgender inmate claimed that the prison's practice of starting and stopping her hormone treatment was a violation of her rights, Judge Gorsuch disagreed.[[Page S2197]]  As the National Women's Law Center observed, his ``record reveals a troubling pattern of narrowly approaching the legal principles upon which everyday women across the Nation rely.'' They write that his appointment ``would mean a serious setback for women in this country and for generations to come.''  But judging by his record, if Judge Gorsuch becomes Justice Gorsuch, women won't be the only ones facing setbacks. Take Luke, a young boy with autism whose parents sought financial assistance after switching him from public school to a school specializing in autism education. Judge Gorsuch ruled that the minimal support Luke received in public school was good enough. People in the autism community were up in arms. And in the middle of a Senate hearing 2 weeks ago, the Supreme Court unanimously ruled that Judge Gorsuch was wrong on the law.  Consider Alphonse Maddin was a trucker who got stuck on the road in subzero temperatures--minus 27 degrees, as he recalls--and abandoned his trailer to seek help and save his life. For leaving the trailer, he was fired. Judge Gorsuch wrote that the company was entitled to fire Maddin for not enduring the cold and for not staying in his freezing truck.  Then there is Grace Hwang, a professor diagnosed with cancer. She sued when her university refused to provide the medical leave her doctor recommended. Judge Gorsuch called the university's decision ``reasonable'' and rejected her lawsuit. Sadly, Grace died last summer.  Judge Gorsuch has Ivy League credentials, but his record shows he lacks sound judgment to uphold justice. He ignores the complexities of human beings--the humiliating sting of harassment, the fear of a cancer patient or a worker who feels his life is in danger. In short, his rulings lack a basic sense of empathy. Judge Gorsuch understands the text of the law, to be sure, but he has repeatedly failed to show that he fully understands those important words: ``equal justice under law.'' For the highest Court in the land, I say, let's find someone who does.  I yield the floor.  The PRESIDING OFFICER (Mr.Strange). The Senator from  ",CREC-2017-04-04-pt1-PgS2190-4.txt,CREC-2017-04-04-pt1-PgS2190-4.xml,EXECUTIVE SESSION,2017,4,April
